"Name","Position","Name...ID","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"A.J. Cruz","WR","A.J. Cruz (7147686)",7147686,3000,"Mia@Sea 04:05PM ET","Mia","A.J.","Cruz","Sea",0,0
"A.J. Derby","TE","A.J. Derby (7147934)",7147934,2500,"NE@Ari 08:30PM ET","NE","A.J.","Derby","Ari",0,1.5
"A.J. Green","WR","A.J. Green (7147544)",7147544,8400,"Cin@NYJ 01:00PM ET","Cin","A.J.","Green","NYJ",19.1,18
"Aaron Dobson","WR","Aaron Dobson (7147761)",7147761,3000,"NE@Ari 08:30PM ET","NE","Aaron","Dobson","Ari",0,0
"Aaron Murray","QB","Aaron Murray (7147224)",7147224,5000,"SD@KC 01:00PM ET","KC","Aaron","Murray","SD",0,0
"Aaron Ripkowski","RB","Aaron Ripkowski (7147405)",7147405,3000,"GB@Jax 01:00PM ET","GB","Aaron","Ripkowski","Jax",0,0
"Aaron Rodgers","QB","Aaron Rodgers (7147242)",7147242,8500,"GB@Jax 01:00PM ET","GB","Aaron","Rodgers","Jax",23.19,22.3
"Adam Fuehne","TE","Adam Fuehne (7147922)",7147922,2500,"Det@Ind 04:25PM ET","Det","Adam","Fuehne","Ind",0,0
"Adam Humphries","WR","Adam Humphries (7147484)",7147484,3000,"TB@Atl 01:00PM ET","TB","Adam","Humphries","Atl",6.64,1.2
"Adam Thielen","WR","Adam Thielen (7147510)",7147510,3000,"Min@Ten 01:00PM ET","Min","Adam","Thielen","Ten",0,0
"Adrian Peterson","RB","Adrian Peterson (7147291)",7147291,7600,"Min@Ten 01:00PM ET","Min","Adrian","Peterson","Ten",18.29,15.3
"AJ McCarron","QB","AJ McCarron (7147208)",7147208,5000,"Cin@NYJ 01:00PM ET","Cin","AJ","McCarron","NYJ",0,0
"Akeem Hunt","RB","Akeem Hunt (7147395)",7147395,3000,"Chi@Hou 01:00PM ET","Hou","Akeem","Hunt","Chi",0,0
"Alan Cross","RB","Alan Cross (7147287)",7147287,3000,"TB@Atl 01:00PM ET","TB","Alan","Cross","Atl",0,0
"Albert Wilson","WR","Albert Wilson (7147596)",7147596,3600,"SD@KC 01:00PM ET","KC","Albert","Wilson","SD",7.29,5.4
"Aldrick Robinson","WR","Aldrick Robinson (7147472)",7147472,3000,"TB@Atl 01:00PM ET","Atl","Aldrick","Robinson","TB",0,0
"Alex Collins","RB","Alex Collins (7147425)",7147425,3100,"Mia@Sea 04:05PM ET","Sea","Alex","Collins","Mia",0,0
"Alex Ellis","TE","Alex Ellis (7147797)",7147797,2500,"Min@Ten 01:00PM ET","Ten","Alex","Ellis","Min",0,0
"Alex Erickson","WR","Alex Erickson (7147555)",7147555,3000,"Cin@NYJ 01:00PM ET","Cin","Alex","Erickson","NYJ",0,0
"Alex Smith","QB","Alex Smith (7147220)",7147220,6500,"SD@KC 01:00PM ET","KC","Alex","Smith","SD",17.44,18
"Alex Tanney","QB","Alex Tanney (7147196)",7147196,5000,"Min@Ten 01:00PM ET","Ten","Alex","Tanney","Min",0,0
"Alfred Blue","RB","Alfred Blue (7147387)",7147387,3600,"Chi@Hou 01:00PM ET","Hou","Alfred","Blue","Chi",4.43,3.1
"Alfred Morris","RB","Alfred Morris (7147428)",7147428,3800,"NYG@Dal 04:25PM ET","Dal","Alfred","Morris","NYG",3.01,4.1
"Allen Hurns","WR","Allen Hurns (7147666)",7147666,5800,"GB@Jax 01:00PM ET","Jax","Allen","Hurns","GB",13.08,12
"Allen Robinson","WR","Allen Robinson (7147675)",7147675,8300,"GB@Jax 01:00PM ET","Jax","Allen","Robinson","GB",18.72,16.5
