"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"WR","Julio Jones",9200,"GB@ATL 08:30PM ET",10.6,"ATL","GB",0,24.2,0,0,0,0,0,0
"WR","Odell Beckham",8000,"DET@NYG 08:30PM ET",0,"NYG","DET",0,17,0,0,0,0,0,0
"WR","Jordy Nelson",7900,"GB@ATL 08:30PM ET",20.9,"GB","ATL",0,16.7,0,0,0,0,0,0
"QB","Matt Ryan",7500,"GB@ATL 08:30PM ET",20.94,"ATL","GB",0,23,0,0,0,0,0,0
"QB","Aaron Rodgers",7400,"GB@ATL 08:30PM ET",20.54,"GB","ATL",0,22.2,0,0,0,0,0,0
"RB","Devonta Freeman",7300,"GB@ATL 08:30PM ET",11.9,"ATL","GB",0,13.6,0,0,0,0,0,0
"WR","Golden Tate",6800,"DET@NYG 08:30PM ET",24.4,"DET","NYG",0,12.9,0,0,0,0,0,0
"WR","Randall Cobb",5900,"GB@ATL 08:30PM ET",17.5,"GB","ATL",0,11.1,0,0,0,0,0,0
"RB","Ty Montgomery",5800,"GB@ATL 08:30PM ET",19.3,"GB","ATL",0,15,0,0,0,0,0,0
"QB","Matthew Stafford",5800,"DET@NYG 08:30PM ET",28.08,"DET","NYG",0,17.8,0,0,0,0,0,0
"WR","Davante Adams",5600,"GB@ATL 08:30PM ET",7.7,"GB","ATL",0,12,0,0,0,0,0,0
"RB","Tevin Coleman",5300,"GB@ATL 08:30PM ET",9.8,"ATL","GB",0,10,0,0,0,0,0,0
"QB","Eli Manning",5300,"DET@NYG 08:30PM ET",7.7,"NYG","DET",0,18.7,0,0,0,0,0,0
"WR","Brandon Marshall",5000,"DET@NYG 08:30PM ET",2,"NYG","DET",0,10.4,0,0,0,0,0,1
"WR","Sterling Shepard",4700,"DET@NYG 08:30PM ET",12,"NYG","DET",0,12.6,0,0,0,0,0,1
"WR","Mohamed Sanu",4500,"GB@ATL 08:30PM ET",10.7,"ATL","GB",0,12.1,0,0,0,0,0,1
"RB","Theo Riddick",4500,"DET@NYG 08:30PM ET",14.6,"DET","NYG",0,10.9,0,0,0,0,0,0
"QB","Geno Smith",4500,"DET@NYG 08:30PM ET",0,"NYG","DET",0,0,0,0,0,0,0,0
"RB","Jamaal Williams",4400,"GB@ATL 08:30PM ET",0.9,"GB","ATL",0,5,0,0,0,0,0,0
