"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"RB","Ezekiel Elliott",7800,"DAL@DEN 04:25PM ET",22,"DAL","DEN",0,21,0,0,0,0,0,0
"RB","Todd Gurley II",6800,"WAS@LAR 04:25PM ET",20.6,"LAR","WAS",0,16,0,0,0,0,0,0
"QB","Russell Wilson",6800,"SF@SEA 04:25PM ET",9.32,"SEA","SF",0,19.8,0,0,0,0,0,0
"WR","Doug Baldwin",6700,"SF@SEA 04:25PM ET",10,"SEA","SF",0,13.2,0,0,0,0,0,0
"WR","Dez Bryant",6600,"DAL@DEN 04:25PM ET",6.3,"DAL","DEN",0,13.6,0,0,0,0,0,0
"QB","Kirk Cousins",6100,"WAS@LAR 04:25PM ET",13.6,"WAS","LAR",0,18.7,0,0,0,0,0,0
"WR","Terrelle Pryor",6000,"WAS@LAR 04:25PM ET",12.6,"WAS","LAR",0,13.8,0,0,0,0,0,0
"WR","Demaryius Thomas",5900,"DAL@DEN 04:25PM ET",11.7,"DEN","DAL",0,14.9,0,0,0,0,0,0
"QB","Dak Prescott",5600,"DAL@DEN 04:25PM ET",17.12,"DAL","DEN",0,15.4,0,0,0,0,0,0
"RB","Darren McFadden",5200,"DAL@DEN 04:25PM ET",0,"DAL","DEN",0,0,0,0,0,0,0,0
"WR","Emmanuel Sanders",5200,"DAL@DEN 04:25PM ET",5.6,"DEN","DAL",0,13.2,0,0,0,0,0,0
"TE","Jordan Reed",5200,"WAS@LAR 04:25PM ET",8.6,"WAS","LAR",0,12.9,0,0,0,0,0,0
"WR","Sammy Watkins",5200,"WAS@LAR 04:25PM ET",10.8,"LAR","WAS",0,14.7,0,0,0,0,0,0
"QB","Jared Goff",5100,"WAS@LAR 04:25PM ET",19.44,"LAR","WAS",0,15.3,0,0,0,0,0,0
"QB","Colt McCoy",5000,"WAS@LAR 04:25PM ET",0,"WAS","LAR",0,0,0,0,0,0,0,0
"QB","Trevor Siemian",4900,"DAL@DEN 04:25PM ET",23.66,"DEN","DAL",0,15.8,0,0,0,0,0,0
"WR","Jamison Crowder",4900,"WAS@LAR 04:25PM ET",3.4,"WAS","LAR",0,10.7,0,0,0,0,0,1
"TE","Jimmy Graham",4900,"SF@SEA 04:25PM ET",3.8,"SEA","SF",0,8.8,0,0,0,0,0,0
"WR","Pierre Garcon",4900,"SF@SEA 04:25PM ET",14.1,"SF","SEA",0,13,0,0,0,0,0,1
"RB","Carlos Hyde",4900,"SF@SEA 04:25PM ET",13.7,"SF","SEA",0,12.7,0,0,0,0,0,0
"RB","CJ Anderson",4700,"DAL@DEN 04:25PM ET",9.8,"DEN","DAL",0,16.1,0,0,0,0,0,0
"RB","Thomas Rawls",4600,"SF@SEA 04:25PM ET",0,"SEA","SF",0,8.8,0,0,0,0,0,0
"RB","Alfred Morris",4500,"DAL@DEN 04:25PM ET",0.1,"DAL","DEN",0,3.6,0,0,0,0,0,0
"QB","Cooper Rush",4500,"DAL@DEN 04:25PM ET",0,"DAL","DEN",0,0,0,0,0,0,0,0
"QB","Brian Hoyer",4500,"SF@SEA 04:25PM ET",5.22,"SF","SEA",0,14,0,0,0,0,0,0
"WR","Cole Beasley",4300,"DAL@DEN 04:25PM ET",6.2,"DAL","DEN",0,8.1,0,0,0,0,0,1
"QB","Austin Davis",4300,"SF@SEA 04:25PM ET",0,"SEA","SF",0,0,0,0,0,0,0,0
"RB","Jamaal Charles",4200,"DAL@DEN 04:25PM ET",3,"DEN","DAL",0,10,0,0,0,0,0,0
"QB","Brock Osweiler",4200,"DAL@DEN 04:25PM ET",0,"DEN","DAL",0,0,0,0,0,0,0,0
"QB","Sean Mannion",4200,"WAS@LAR 04:25PM ET",-0.22,"LAR","WAS",0,0,0,0,0,0,0,0
"RB","Eddie Lacy",4200,"SF@SEA 04:25PM ET",0.3,"SEA","SF",0,3.4,0,0,0,0,0,0
"WR","Paul Richardson",4200,"SF@SEA 04:25PM ET",9.9,"SEA","SF",0,12.1,0,0,0,0,0,1
"QB","CJ Beathard",4200,"SF@SEA 04:25PM ET",0,"SF","SEA",0,0,0,0,0,0,0,0
"WR","Cooper Kupp",4100,"WAS@LAR 04:25PM ET",17.6,"LAR","WAS",0,6.7,0,0,0,0,0,1
"RB","Chris Carson",4100,"SF@SEA 04:25PM ET",5.9,"SEA","SF",0,3.7,0,0,0,0,0,0
"QB","Kellen Moore",4000,"DAL@DEN 04:25PM ET",0,"DAL","DEN",0,0,0,0,0,0,0,0
"QB","Paxton Lynch",4000,"DAL@DEN 04:25PM ET",0,"DEN","DAL",0,0,0,0,0,0,0,0
"QB","Brandon Allen",4000,"WAS@LAR 04:25PM ET",0,"LAR","WAS",0,0,0,0,0,0,0,0
"WR","Tyler Lockett",4000,"SF@SEA 04:25PM ET",1.8,"SEA","SF",0,11.1,0,0,0,0,0,1
"RB","Rob Kelley",3900,"WAS@LAR 04:25PM ET",3,"WAS","LAR",0,13.3,0,0,0,0,0,0
"RB","Malcolm Brown",3900,"WAS@LAR 04:25PM ET",7.6,"LAR","WAS",0,3.4,0,0,0,0,0,0
"RB","CJ Prosise",3900,"SF@SEA 04:25PM ET",1.1,"SEA","SF",0,5.9,0,0,0,0,0,0
"RB","Chris Thompson",3800,"WAS@LAR 04:25PM ET",15.6,"WAS","LAR",0,10,0,0,0,0,0,0
"RB","Samaje Perine",3800,"WAS@LAR 04:25PM ET",0,"WAS","LAR",0,3.5,0,0,0,0,0,0
"RB","Matt Breida",3800,"SF@SEA 04:25PM ET",1.1,"SF","SEA",0,5.1,0,0,0,0,0,0
"WR","Terrance Williams",3600,"DAL@DEN 04:25PM ET",12.8,"DAL","DEN",0,7.5,0,0,0,0,0,1
"RB","De'Angelo Henderson",3600,"DAL@DEN 04:25PM ET",0,"DEN","DAL",0,0,0,0,0,0,0,0
"RB","Devontae Booker",3500,"DAL@DEN 04:25PM ET",0,"DEN","DAL",0,0,0,0,0,0,0,0
"WR","Ryan Grant",3500,"WAS@LAR 04:25PM ET",10.1,"WAS","LAR",0,2.8,0,0,0,0,0,1
"WR","Tavon Austin",3500,"WAS@LAR 04:25PM ET",1.8,"LAR","WAS",0,5.3,0,0,0,0,0,1
"WR","Josh Doctson",3500,"WAS@LAR 04:25PM ET",0,"WAS","LAR",0,8.1,0,0,0,0,0,1
"WR","Marquise Goodwin",3500,"SF@SEA 04:25PM ET",5.1,"SF","SEA",0,10.1,0,0,0,0,0,1
