"Jose Altuve_HOU","Carlos Correa_HOU","Ryan Braun_MIL","George Springer_HOU","Michael Brantley_CLE","Joey Votto_CIN","Edwin Encarnacion_CLE","Eric Thames_MIL","Carlos Santana_CLE","Francisco Lindor_CLE","Jason Kipnis_CLE","Jonathan Villar_MIL","Alex Bregman_HOU","Billy Hamilton_CIN","Evan Gattis_HOU","Adam Duvall_CIN","Carlos Beltran_HOU","Todd Frazier_CWS","Jose Ramirez_CLE","Josh Reddick_HOU","Jose Abreu_CWS","Jose Peraza_CIN","Norichika Aoki_HOU","Scooter Gennett_CIN","Keon Broxton_MIL","Scott Schebler_CIN","Phillip Ervin_CIN","Brian McCann_HOU","Eugenio Suarez_CIN","Domingo Santana_MIL","Yuli Gurriel_HOU","Derek Fisher_HOU","Melky Cabrera_CWS","Lorenzo Cain_KC","Zack Cozart_CIN","Tyler Naquin_CLE","Eric Hosmer_KC","Arismendy Alcantara_CIN","Travis Shaw_MIL","Hernan Perez_MIL","Alex Gordon_KC","Lonnie Chisenhall_CLE","Abraham Almonte_CLE","Salvador Perez_KC","Tim Anderson_CWS","Orlando Arcia_MIL","Marwin Gonzalez_HOU","Brandon Guyer_CLE","Bradley Zimmer_CLE","Brandon Moss_KC","Jorge Soler_KC","Nick Franklin_MIL","Jesse Winker_CIN","Tyler Saladino_CWS","Whit Merrifield_KC","Matt Davidson_CWS","Peter O'Brien_KC","Jesus Aguilar_MIL","Yan Gomes_CLE","Austin Jackson_CLE","Cheslor Cuthbert_KC","Alcides Escobar_KC","Avisail Garcia_CWS","Jake Marisnick_HOU","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Devin Mesoraco_CIN","Andrew Susac_MIL","Kirk Nieuwenhuis_MIL","Giovanny Urshela_CLE","Jorge Bonifacio_KC","Tucker Barnhart_CIN","Yandy Diaz_CLE","Charlie Tilson_CWS","Manny Pina_MIL","Ryan O'Hearn_KC","Jett Bandy_MIL","Roberto Perez_CLE","Terrance Gore_KC","Patrick Kivlehan_CIN","Christian Colon_KC","Leury Garcia_CWS","Jacob May_CWS","Michael Martinez_CLE","Cody Asche_CWS","Geovany Soto_CWS","Omar Narvaez_CWS","Raul Mondesi_KC","Willy Garcia_CWS","Yolmer Sanchez_CWS","Stuart Turner_CIN","Kevan Smith_CWS","Drew Butera_KC","Zack Collins_CWS"
76.5751633986928,2.6413842276285,0,-4.50814399332728,0,0,0,0,0,0,0,0,17.7875197812596,0,-2.94577881722622,0,-0.0979603175553876,0,0,5.4240720071365,0,0,29.7025632533356,0,0,0,0,10.2260675852165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.7252225560533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6413842276285,18.0285714285714,0,-0.0867545426460463,0,0,0,0,0,0,0,0,0.891629103122815,0,-13.2243380096103,0,0.443850512955057,0,0,-1.35908266263429,0,0,-5.43908306809437,0,0,0,0,-4.13615787187782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.33836929263083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70.9415204678363,0,0,0,0,22.5720007737701,0,0,0,-23.8074950664925,0,0,0,0,0,0,0,0,0,0,0,0,-23.0035089241864,0,0,0,0,15.8712650968354,0,0,0,0,0,0,0,0,-21.3988240148746,-33.5336841806218,0,0,0,0,0,-0.499408755763838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8392240243268,0,-16.3031696718449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.50814399332728,-0.0867545426460463,0,77.3291666666667,0,0,0,0,0,0,0,0,12.1926638038135,0,13.6665118788613,0,1.52099748115865,0,0,-28.3773854906067,0,0,2.74023525875269,0,0,0,0,-14.0764463058523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0532681776179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50.2045454545455,0,45.8772546482944,0,2.85163528319034,-2.99027708217652,0,0,0,0,0,0,0,0,1.0384997584521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1709334565784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29444799954808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,73.2,0,0,0,0,0,0,0,2.14914605192691,0,24.4335939351486,0,0,0,0,0,10.9238815735566,0,0,0,-1.96563561003272,0,0,33.1834248726884,0,0,0,0,0,11.3827177083168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61968215057364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45.8772546482944,0,43.5833333333333,0,12.559075787323,-7.89214255496726,0,0,0,0,0,0,0,0,47.6738828564933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144229767072396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68830259734276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22.5720007737701,0,0,0,0,100.143790849673,0,0,0,-14.7579673472257,0,0,0,0,0,0,0,0,0,0,0,0,-22.0696413646959,0,0,0,0,15.3923379934179,0,0,0,0,0,0,0,0,13.7760546193386,112.14400981492,0,0,0,0,0,16.6685145721892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17879640935744,0,3.392241270453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.85163528319034,0,12.559075787323,0,63.5625,11.8078845184533,0,0,0,0,0,0,0,0,66.0743424851364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.5224532427394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.53113136598413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2.99027708217652,0,-7.89214255496726,0,11.8078845184533,116,0,0,0,0,0,0,0,0,6.25026425013296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.06188925537126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1619264716756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
