"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26","2017-07-27","2017-07-28","2017-07-29","2017-07-30","2017-07-31","2017-08-01","2017-08-02","2017-08-03","2017-08-04"
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,10,NA,NA,3,NA,7,NA,0,14,NA,10,NA,NA,NA,10,NA,32,5,4,3,4,5,3,15,19,2,NA,22,4,NA,NA,NA,3,15,0,16,10,4,14,3,5,NA,44,0,7,8,0,NA,14,0,2,NA,14,24,NA,7,11,NA,22,2,0,4,3,NA,20,5,5,NA,10,27,3,NA,17,5,18,3,0,8,13,NA,21,28,10,0,NA,6,13,16,5,NA,9,5,0,NA,7,9,26,NA
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3,37,3,NA,NA,0,5,NA,0,6,NA,2,6,20,0,24,23,30,6,2,18,NA,9,0,5,3,15,9,4,16,11,NA,NA,7,2,NA,NA,5,NA,19,3,17,NA,5,7,0,NA,NA,NA,12,15,7,NA,27,15,7,2,5,11,NA,8,8,0,10,26,NA,20,11,14,5,9,25,NA,NA,16,15,3,7,7,4,5,3,11,NA,NA,NA,5,12,5,NA,18,NA,0,0,NA,17,3,7,NA,5,18,7,NA,0,0,0,7,NA,NA,NA
"Lucas Duda_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,9,14,14,NA,4,NA
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14,18,0,0,7,5,NA,24,NA,16,3,12,17,18,8,8,NA,2,9,0,NA,7,3,NA,7,7,7,7,12,0,20,5,NA,12,7,14,25,NA,NA,2,7,4,12,2,8,7,NA,7,0,3,10,2,13,0,14,NA,8,18,27,NA,8,8,NA,2,20,4,8,53,10,NA,12,NA,NA,NA,NA,0,NA,20,17,NA,0,5,9,5,5,14,5,NA,7,26,7,0,14,4,3,3,3,NA,30,17,17,NA,0,0,11,NA
"Trea Turner_WAS",NA,10,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,7,48,28,19,8,11,7,NA,14,3,13,4,0,0,NA,3,5,NA,NA,16,4,NA,15,5,NA,12,8,2,NA,15,17,2,19,3,8,0,16,13,NA,15,0,31,5,17,8,30,2,0,NA,24,10,NA,2,5,19,25,6,11,0,NA,15,29,0,5,32,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Longoria_TB",21,NA,7,2,7,20,5,0,5,NA,6,3,9,5,0,NA,2,19,NA,14,14,2,5,4,3,NA,14,0,0,NA,NA,2,5,15,16,0,8,5,10,0,23,0,14,10,0,0,NA,20,19,2,3,0,5,9,0,0,29,20,4,12,NA,3,9,0,NA,7,10,5,0,19,5,NA,20,5,3,0,0,22,0,5,NA,NA,17,17,18,NA,3,2,6,12,0,NA,5,7,7,6,12,19,5,19,0,10,NA,0,10,3,3,7,24,17,0,2,10,0,36,0,11,NA
"Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA,2,NA,NA,7,NA,3,5,NA,7,0,NA,21,2,NA,2,NA,10,NA,0,NA,NA,19,34,10,0,NA,14,24,NA,16,0,NA,3,2,0,NA,0,NA,32,5,NA,NA,22,NA,5,0,3,NA,17,0,NA,5,NA,NA,17,NA,0,13,0,3,NA,NA,2,2,NA,0,NA,NA,0,10,10,5,NA,7,6,16,5,17,0,7,2,0,15,NA,NA,10,5,NA,0,0,15,12,20,25,NA,NA,NA,0,5,0,NA,NA,14,0,NA,NA,18,NA,22,NA
"Ian Happ_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,8,NA,22,4,12,5,NA,14,NA,0,2,5,0,5,0,NA,NA,0,NA,5,5,32,NA,NA,18,0,NA,NA,NA,NA,22,14,NA,10,5,16,0,16,16,25,8,10,3,7,0,3,3,7,40,NA,12,12,0,10,14,7,4,8,NA,5,NA,NA,NA,0,NA,21,0,NA,NA,2,NA,NA,19,NA,0,NA
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA,2,7,NA,7,8,5,18,NA,NA,12,6,0,12,0,2,NA,3,7,2,0,18,2,NA,14,NA,14,NA,NA,2,NA,2,2,2,NA,19,9,NA,0,NA,9,NA,14,NA,0,NA,2,NA,2,16,0,NA,0,20,8,0,NA,28,2,NA,0,NA,NA,5,19,NA,2,4,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,19,14,NA,0,NA,8,NA,NA,0,14,3,NA,9,40,NA,0,NA,NA,NA,3,3,NA
"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,23,NA,5,NA,NA,NA,4,NA,6,19,2,22,NA,NA,0,2,7,38,5,23,12,19,NA,7,12,0,11,21,NA,NA,0,8,39,0,0,16,NA,21,17,7,NA,37,14,3,4,3,NA,7,7,9,0,16,6,10,NA,11,6,NA,0,6,10,NA,NA,NA,NA,2,3,19,0,4,NA,NA,17,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,16,8,5,12,32,10,17,7,NA,0,12,28,7,3,NA,12,10,5,NA
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14,NA,NA,0,NA,NA,NA,16,NA,NA,NA,NA,0,NA,NA,NA,NA,6,NA,NA,NA,8,NA,NA,NA,NA,11,NA,16,NA,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,5,NA,NA,0,3,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,18,16,NA,7,NA,0,NA,38,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,NA,NA,NA,NA,10,NA,0,NA,NA,NA,15,NA
"Brian Goodwin_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,0,NA,30,3,2,NA,2,NA,2,0,NA,14,26,NA,NA,14,NA,NA,2,NA,11,0,NA,35,17,6,3,9,NA,5,2,9,NA,NA,NA,20,0,0,7,11,NA,0,5,NA,2,16,16,NA,0,7,30,NA,0,12,7,7,3,NA,NA
"Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10,0,18,16,8,18,33,10,NA,2,17,2,10,9,0,14,NA,22,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,NA,5,5,NA,NA,7,20,11,0,20,5,3,5,NA,NA,NA,39,9,NA,7,0,NA,0,14,5,NA,5,10,NA,NA
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3,5,9,33,7,2,3,0,NA,0,7,0,3,7,8,0,NA,14,0,0,21,2,NA,13,5,NA,17,8,3,2,9,NA,19,2,0,12,22,4,NA,NA,NA,0,0,12,0,0,NA,12,4,NA,3,10,22,NA,4,5,0,NA,NA,12,4,NA,24,3,NA,4,30,0,NA,14,20,2,NA,7,NA,6,NA,17,5,NA,8,NA,0,NA,5,17,3,32,4,NA,0,15,0,4,15,NA,13,13,14,NA,NA,0,8,NA,17,10,6,NA
"Howie Kendrick_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,28,3,NA,NA
"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17,8,21,0,6,5,36,18,11,NA,7,2,3,11,0,NA,7,0,3,26,NA,19,17,NA,2,6,13,NA,NA,NA,NA,11,NA,2,NA,12,NA,0,2,0,NA,2,17,27,0,4,NA,16,0,5,NA,20,7,0,0,NA,NA,25,21,22,16,2,0,0,NA,5,7,3,0,NA,2,NA,NA,7,18,NA,30,2,NA,NA,7,6,12,6,8,0,NA,3,14,0,NA,16,NA,5,NA,5,3,NA,13,14,0,NA
"Adam Eaton_WAS",NA,16,NA,11,NA,NA,2,5,23,5,10,NA,NA,NA,15,NA,5,21,0,0,12,6,12,14,9,29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domingo Santana_MIL",NA,9,11,NA,NA,0,NA,16,NA,19,10,8,7,6,NA,10,4,NA,3,0,0,NA,13,0,NA,NA,NA,6,32,10,5,NA,7,NA,5,0,NA,10,15,0,7,13,NA,17,7,5,NA,11,NA,NA,NA,2,NA,0,5,5,31,17,4,NA,8,14,11,14,10,8,19,15,11,4,3,NA,7,10,7,2,0,NA,0,5,21,7,9,8,17,NA,0,18,4,21,13,NA,2,9,33,12,20,12,NA,2,3,24,0,6,12,0,NA,7,17,0,2,NA,16,NA,7,2,2,NA
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA,7,8,5,3,8,11,7,15,NA,13,0,11,2,NA,10,13,NA,5,5,6,3,0,10,8,NA,8,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,6,NA,8,9,NA,12,NA,23,33,2,NA,14,15,8,18,0,NA,8,28,16,4,NA,19,7,6,NA,4,3,4,NA,5,10,4,5,NA,3,8,0,9,NA,5,4,7,NA,3,NA,4,NA
"Curtis Granderson_NYM",NA,5,NA,0,3,10,0,NA,3,13,NA,5,4,12,0,NA,NA,0,0,21,0,0,NA,NA,0,7,0,0,0,4,NA,18,NA,18,8,0,NA,0,9,NA,7,5,2,7,18,NA,NA,7,2,19,NA,2,7,7,7,12,15,0,10,8,2,5,0,5,NA,20,7,NA,23,5,NA,7,NA,23,NA,NA,NA,5,NA,NA,24,21,12,12,25,NA,14,11,7,4,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,NA,0,NA,NA,2,NA,14,NA,7,5,6,5,NA,NA,20,9,NA
"Jay Bruce_NYM",NA,10,NA,22,4,2,3,16,34,7,3,11,5,NA,0,NA,5,39,4,5,2,3,NA,NA,10,5,5,0,24,7,36,9,NA,6,18,0,3,7,19,NA,2,3,NA,2,0,3,NA,0,6,20,NA,5,NA,3,11,14,19,2,5,4,0,5,14,6,NA,5,30,NA,8,23,5,28,0,8,7,17,9,4,16,3,4,4,NA,5,21,NA,2,18,2,2,2,NA,NA,NA,NA,22,17,7,20,6,0,7,NA,0,16,5,10,5,4,18,21,0,3,NA,21,16,0,NA
"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0,0,7,NA,14,0,35,16,21,3,7,2,NA,9,13,NA,0,2,NA,21,3,NA,19,0,0,14,NA,9,17,5,3,28,5,NA,NA,12,NA,7,NA,19,NA,0,NA,NA,6,9,10,5,10,17,2,NA,33,2,NA,NA,9,21,NA,NA,NA,NA,21,8,13,18,0,3,14,9,0,28,0,2,20,NA,20,9,2,11,NA,NA,17,7,NA,11,7,4,14,12,24,3,2,0,26,0,NA,25,12,18,0,5,3,NA,2,0,8,NA
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA,3,NA,5,2,3,NA,6,7,NA,0,NA,16,0,7,2,NA,3,8,3,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,0,5,7,16,3,NA,3,9,5,0,8,7,5,NA,7,5,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2,5,0,51,11,32,NA,0,5,NA,7,9,5,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,7,2,27,NA,3,0,7,3,28,3,NA,NA,0,5,3,0,2,NA,NA,NA,NA,5,0,18,5,0,3,16,2,11,0,NA,16,33,3,9,0,8,3,NA,12,9,14,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3,5,9,31,7,3,0,16,NA,NA,2,7,8,NA,5,0,NA,NA,4,2,16,0,NA,9,18,17,NA,NA,9,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,14,9,15,5,NA,0,2,0,NA,22,0,NA,0,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,10,NA,5,0,3,23,0,NA,NA,NA,NA,2,0,14,4,5,2,13,0,4,8,NA,15,9,5,12,15,0,NA,NA,2,15,13,NA
"Adam Lind_WAS",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11,NA,NA,NA,NA,9,29,5,NA,NA,NA,7,NA,19,2,15,NA,NA,NA,NA,16,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,NA,NA,NA,20,0,NA,NA,NA,NA,NA,3,14,12,NA,0,16,3,NA,0,NA,NA
"Wilmer Difo_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,0,3,NA,7,14,2,6,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,10,NA,NA,NA,NA,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,12,NA,NA,5,NA,NA,0,NA,NA,11,3,19,NA,NA,7,19,NA,7,22,0,5,3,NA,NA
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA,2,NA,5,NA,2,NA,7,NA,NA,12,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19,3,0,5,12,NA,4,7,0,0,9,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA,23,16,7,5,15,12,NA,NA,16,15,2,18,18,NA,NA,7,NA,NA,0,NA,7,19,12,12,NA,0,NA,0,NA,3,2,14,13,14,NA,12,0,NA,NA,4,2,NA,NA
"Jayson Werth_WAS",NA,0,NA,6,NA,NA,10,6,12,14,0,NA,NA,NA,3,NA,0,5,NA,NA,NA,0,7,0,9,21,0,12,12,NA,2,0,9,11,5,40,10,2,21,NA,NA,9,NA,NA,13,2,NA,4,5,0,NA,18,4,7,9,7,NA,0,15,0,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
