"Anthony Rizzo_CHC","Mookie Betts_BOS","Kris Bryant_CHC","Nelson Cruz_SEA","Edwin Encarnacion_CLE","Kyle Schwarber_CHC","Robinson Cano_SEA","Francisco Lindor_CLE","Michael Brantley_CLE","Carlos Santana_CLE","Jose Ramirez_CLE","Jean Segura_SEA","Hanley Ramirez_BOS","Jason Kipnis_CLE","Kyle Seager_SEA","Mitch Haniger_SEA","Ben Zobrist_CHC","Xander Bogaerts_BOS","Jackie Bradley_BOS","Danny Valencia_SEA","Dustin Pedroia_BOS","Taylor Motter_SEA","Leonys Martin_SEA","Javier Baez_CHC","Andrew Benintendi_BOS","Willson Contreras_CHC","Addison Russell_CHC","Jarrod Dyson_SEA","Pablo Sandoval_BOS","Ben Gamel_SEA","Mitch Moreland_BOS","Jason Heyward_CHC","Brock Holt_BOS","Albert Almora_CHC","Lonnie Chisenhall_CLE","Abraham Almonte_CLE","Guillermo Heredia_SEA","Miguel Montero_CHC","Jon Jay_CHC","Mike Zunino_SEA","Shawn O'Malley_SEA","Brandon Guyer_CLE","Bradley Zimmer_CLE","Carlos Ruiz_SEA","Tyler Naquin_CLE","Ian Happ_CHC","Chris Young_BOS","Matt Szczur_CHC","Yan Gomes_CLE","Austin Jackson_CLE","Tommy La Stella_CHC","Chase d'Arnaud_BOS","Giovanny Urshela_CLE","Sandy Leon_BOS","Marco Hernandez_BOS","Steve Selsky_BOS","Daniel Vogelbach_SEA","Mike Freeman_SEA","Yandy Diaz_CLE","Christian Vazquez_BOS","Josh Rutledge_BOS","Deven Marrero_BOS","Roberto Perez_CLE","Michael Martinez_CLE","Eloy Jimenez_CHC"
20,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,15,0,15,19,0,0,0,0,18,0,9,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,7,0,13,0,0,0,16,0,0,0,13,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,7,0,0,0,0,0
20,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,15,0,15,19,0,0,0,0,18,0,9,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22,0,0,22,0,0,0,0,10,0,0,18,20,0,0,0,17,0,16,13,0,0,0,0,20,0,2,0,0,0,0,0,0,10,0,0,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,19,0,0,19,14,19,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,10,0,0,2,0,0,0,12,10,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0
19,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0,14,18,0,0,0,0,18,0,8,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22,0,0,23,0,0,0,0,11,0,0,19,20,0,0,0,17,0,17,13,0,0,0,0,21,0,3,0,0,0,0,0,0,11,0,0,16,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,19,0,0,19,14,19,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,10,0,0,2,0,0,0,12,10,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0
0,0,0,0,14,0,0,14,14,14,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,5,0,0,2,0,0,0,10,5,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0
0,0,0,0,19,0,0,19,14,19,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,10,0,0,2,0,0,0,12,10,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0
