"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week12","FreqInd"
"RB","David Johnson (7852233)","David Johnson",7852233,9500,"Was@Ari 04:25PM ET","Ari","David","Johnson","Was",27.58,23.3,2,0.181236673773987,"Johnson, David",57,85,3,2,2,19,35.6,0,33.1,1
"RB","Le'Veon Bell (7852224)","Le'Veon Bell",7852224,9200,"NYG@Pit 04:25PM ET","Pit","Le'Veon","Bell","NYG",26.19,27.9,NA,NA,"Bell, Le'Veon",NA,NA,NA,NA,NA,18,33.4,0,27.2,1
"WR","Antonio Brown (7852363)","Antonio Brown",7852363,9100,"NYG@Pit 04:25PM ET","Pit","Antonio","Brown","NYG",25.86,24.3,1,0.291954022988506,"Brown, Antonio",84,127,10,1,1,13.2,33.1,0,32.1,1
"WR","Julio Jones (7852259)","Julio Jones",7852259,8700,"KC@Atl 01:00PM ET","Atl","Julio","Jones","KC",21.64,21.4,1,0.272727272727273,"Jones, Julio",67,105,5,1,1,5.9,35.4,0,7.5,1
"WR","Mike Evans (7852390)","Mike Evans",7852390,8600,"TB@SD 04:25PM ET","TB","Mike","Evans","SD",22.09,23.3,1,0.318396226415094,"Evans, Mike",77,135,10,1,1,12.4,32.8,0,33.4,1
"WR","Odell Beckham Jr. (7852366)","Odell Beckham Jr.",7852366,8500,"NYG@Pit 04:25PM ET","NYG","Odell","Beckham","Pit",21.49,21,1,0.27122641509434,"Beckham, Odell",67,115,8,1,1,8.1,30,0,NA,NA
"RB","LeSean McCoy (7852212)","LeSean McCoy",7852212,7800,"Buf@Oak 04:05PM ET","Buf","LeSean","McCoy","Oak",17.9,17.8,4,0.109034267912773,"McCoy, LeSean",29,35,1,3,3,9.5,31,0,32.4,1
"QB","Drew Brees (7852075)","Drew Brees",7852075,7600,"Det@NO 01:00PM ET","NO","Drew","Brees","Det",28.55,20.8,NA,NA,"Brees, Drew",NA,NA,NA,NA,NA,17.7,34.6,0,36.5,1
"QB","Tom Brady (7852080)","Tom Brady",7852080,7500,"LA@NE 01:00PM ET","NE","Tom","Brady","LA",26.24,20.4,NA,NA,"Brady, Tom",NA,NA,NA,NA,NA,17.8,32.8,0,19,1
"WR","A.J. Green (7852315)","A.J. Green",7852315,7500,"Phi@Cin 01:00PM ET","Cin","A.J.","Green","Phi",0,0,1,0.258373205741627,"Green, A.J.",68,108,4,1,1,6.5,33.2,0,NA,1
"QB","Ben Roethlisberger (7852118)","Ben Roethlisberger",7852118,7400,"NYG@Pit 04:25PM ET","Pit","Ben","Roethlisberger","NYG",26.09,20.1,NA,NA,"Roethlisberger, Ben",NA,NA,NA,NA,NA,11.8,32,0,20.8,1
"WR","Amari Cooper (7852357)","Amari Cooper",7852357,7300,"Buf@Oak 04:05PM ET","Oak","Amari","Cooper","Buf",18.54,17.1,1,0.247747747747748,"Cooper, Amari",68,110,3,1,3,6.7,28.2,0,6.2,1
"RB","Melvin Gordon (7852242)","Melvin Gordon",7852242,7200,"TB@SD 04:25PM ET","SD","Melvin","Gordon","TB",21.13,20.7,5,0.123456790123457,"Gordon, Melvin",37,50,2,4,5,12.4,30.8,0,12.9,1
"WR","Larry Fitzgerald (7852371)","Larry Fitzgerald",7852371,7100,"Was@Ari 04:25PM ET","Ari","Larry","Fitzgerald","Was",18.08,18.3,1,0.247334754797441,"Fitzgerald, Larry",81,116,6,1,1,10.4,24.7,0,9.3,1
"QB","Matthew Stafford (7852078)","Matthew Stafford",7852078,7000,"Det@NO 01:00PM ET","Det","Matthew","Stafford","NO",25.72,20.6,NA,NA,"Stafford, Matthew",NA,NA,NA,NA,NA,11.8,26.2,0,16.3,1
"WR","Jordy Nelson (7852302)","Jordy Nelson",7852302,7000,"Hou@GB 01:00PM ET","GB","Jordy","Nelson","Hou",18.9,16.9,1,0.238297872340426,"Nelson, Jordy",63,112,9,1,1,8.8,26.8,0,17.1,1
"WR","Michael Thomas (7852276)","Michael Thomas",7852276,6900,"Det@NO 01:00PM ET","NO","Michael","Thomas","Det",19.26,14.8,1,0.191304347826087,"Thomas, Michael",68,88,7,1,1,8.8,25.8,0,34.8,1
"RB","Jordan Howard (7852208)","Jordan Howard",7852208,6900,"SF@Chi 01:00PM ET","Chi","Jordan","Howard","SF",17.26,20.4,5,0.0970873786407767,"Howard, Jordan",24,40,1,5,4,5.6,24.8,0,15.7,1
"QB","Matt Ryan (7852070)","Matt Ryan",7852070,6800,"KC@Atl 01:00PM ET","Atl","Matt","Ryan","KC",20.69,20.2,NA,NA,"Ryan, Matt",NA,NA,NA,NA,NA,15.7,32.3,0,19.3,1
"WR","Julian Edelman (7852280)","Julian Edelman",7852280,6800,"LA@NE 01:00PM ET","NE","Julian","Edelman","LA",15.76,16.4,1,0.263291139240506,"Edelman, Julian",67,104,2,1,6,7.4,18.2,0,16.3,1
"QB","Aaron Rodgers (7852091)","Aaron Rodgers",7852091,6700,"Hou@GB 01:00PM ET","GB","Aaron","Rodgers","Hou",24.32,20.1,NA,NA,"Rodgers, Aaron",NA,NA,NA,NA,NA,19.3,31.9,0,26.1,1
"RB","Jay Ajayi (7852194)","Jay Ajayi",7852194,6700,"Mia@Bal 01:00PM ET","Mia","Jay","Ajayi","Bal",14.82,12.2,4,0.072289156626506,"Ajayi, Jay",18,24,1,4,6,5,26.9,0,12.6,1
"WR","Doug Baldwin (7852395)","Doug Baldwin",7852395,6700,"Car@Sea 08:30PM ET","Sea","Doug","Baldwin","Car",16.68,15.3,1,0.251428571428571,"Baldwin, Doug",63,88,5,1,1,6.6,25.8,0,10.4,1
"WR","Demaryius Thomas (7852292)","Demaryius Thomas",7852292,6600,"Den@Jax 01:00PM ET","Den","Demaryius","Thomas","Jax",14.94,14.8,2,0.274151436031332,"Thomas, Demaryius",62,105,5,1,1,9.5,20.8,0,11,1
"QB","Cam Newton (7852135)","Cam Newton",7852135,6600,"Car@Sea 08:30PM ET","Car","Cam","Newton","Sea",19.04,18.6,NA,NA,"Newton, Cam",NA,NA,NA,NA,NA,12.9,28.4,0,22.4,1
"TE","Rob Gronkowski (7852421)","Rob Gronkowski",7852421,6500,"LA@NE 01:00PM ET","NE","Rob","Gronkowski","LA",0,0,4,0.10379746835443,"Gronkowski, Rob",25,41,3,4,4,0.9,25.6,0,NA,1
"QB","Derek Carr (7852114)","Derek Carr",7852114,6500,"Buf@Oak 04:05PM ET","Oak","Derek","Carr","Buf",19.73,17.6,NA,NA,"Carr, Derek",NA,NA,NA,NA,NA,11.8,30,0,22.3,1
"QB","Philip Rivers (7852129)","Philip Rivers",7852129,6500,"TB@SD 04:25PM ET","SD","Philip","Rivers","TB",18.84,19,NA,NA,"Rivers, Philip",NA,NA,NA,NA,NA,14.2,25.6,0,20.7,1
"RB","Spencer Ware (7852141)","Spencer Ware",7852141,6400,"KC@Atl 01:00PM ET","KC","Spencer","Ware","Atl",14.64,15,6,0.0763546798029557,"Ware, Spencer",25,31,1,5,5,5.6,24.9,0,11.6,1
"WR","Brandin Cooks (7852274)","Brandin Cooks",7852274,6400,"Det@NO 01:00PM ET","NO","Brandin","Cooks","Det",18.68,14.4,2,0.167391304347826,"Cooks, Brandin",52,77,6,3,2,6.3,27.6,0,0,1
