"Bryce Harper_WAS","Michael Conforto_NYM","Anthony Rizzo_CHC","Paul Goldschmidt_ARI","Jake Lamb_ARI","Kris Bryant_CHC","AJ Pollock_ARI","Trea Turner_WAS","Adam Frazier_PIT","Ryan Braun_MIL","Anthony Rendon_WAS","David Peralta_ARI","Chris Owings_ARI","Yoenis Cespedes_NYM","Daniel Murphy_WAS","Francisco Lindor_CLE","Jay Bruce_NYM","Eric Thames_MIL","Jonathan Villar_MIL","Edwin Encarnacion_CLE","Michael Brantley_CLE","Javier Baez_CHC","Ryan Zimmerman_WAS","Jed Lowrie_OAK","Khris Davis_OAK","Gregory Polanco_PIT","Carlos Santana_CLE","Jason Kipnis_CLE","Ben Zobrist_CHC","Kyle Schwarber_CHC","Ian Happ_CHC","Buster Posey_SF","Adam Eaton_WAS","Yonder Alonso_OAK","Starling Marte_PIT","Yasmany Tomas_ARI","Josh Harrison_PIT","Keon Broxton_MIL","Hunter Pence_SF","Neil Walker_NYM","Lucas Duda_NYM","Travis Shaw_MIL","Eduardo Nunez_SF","Brandon Belt_SF","Michael Taylor_WAS","Jose Ramirez_CLE","Jordy Mercer_PIT","Chris Herrmann_ARI","Brandon Drury_ARI","Josh Bell_PIT","Jose Reyes_NYM","Jayson Werth_WAS","Joe Panik_SF","Lonnie Chisenhall_CLE","Bradley Zimmer_CLE","Rey Fuentes_ARI","David Wright_NYM","Asdrubal Cabrera_NYM","Wilmer Flores_NYM","Domingo Santana_MIL","Jason Heyward_CHC","Denard Span_SF","Rajai Davis_OAK","Yan Gomes_CLE","Ryon Healy_OAK","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Nick Franklin_MIL","Wil Myers_SD","Brandon Crawford_SF","Matt Joyce_OAK","Mark Canha_OAK","Marcus Semien_OAK","David Freese_PIT","Alen Hanson_PIT","Curtis Granderson_NYM","Hernan Perez_MIL","Willson Contreras_CHC","Hunter Renfroe_SD","Albert Almora_CHC","Trevor Plouffe_OAK","Abraham Almonte_CLE","Socrates Brito_ARI","Travis d'Arnaud_NYM","Jesus Aguilar_MIL","Orlando Arcia_MIL","Addison Russell_CHC","Adam Lind_WAS","Matt Wieters_WAS","Stephen Vogt_OAK","Brandon Guyer_CLE","Gregor Blanco_ARI","Andrew McCutchen_PIT","Francisco Cervelli_PIT","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Jett Bandy_MIL","Ryan Schimpf_SD","Jarrett Parker_SF","Jose Osuna_PIT","Eric Sogard_MIL","Brandon Nimmo_NYM","TJ Rivera_NYM","Miguel Montero_CHC","Jon Jay_CHC","Austin Jackson_CLE","Tyler Naquin_CLE","John Jaso_PIT","Danny Ortiz_PIT","Kevin Newman_PIT","Jeimer Candelario_CHC","Nick Hundley_SF","Mac Williamson_SF","Christian Arroyo_SF","Josh Phegley_OAK","Giovanny Urshela_CLE","Erik Gonzalez_CLE","Chris Iannetta_ARI","Juan Lagares_NYM","Gavin Cecchini_NYM","Alex Dickerson_SD","Brian Goodwin_WAS","Wilmer Difo_WAS","Kelby Tomlinson_SF","Yandy Diaz_CLE","Daniel Descalso_ARI","Matt Reynolds_NYM","Kevin Plawecki_NYM","Yangervis Solarte_SD","Tommy La Stella_CHC","Stephen Drew_WAS","Jake Smolinski_OAK","Ryan LaMarre_OAK","Chad Pinder_OAK","Elias Diaz_PIT","Phil Gosselin_PIT","Chris Bostick_PIT","Aaron Hill_SF","Justin Ruggiano_SF","Bruce Maxwell_OAK","Rene Rivera_NYM","Matt Szczur_SD","Travis Jankowski_SD","Chris Heisey_WAS","Gorkys Hernandez_SF","Conor Gillaspie_SF","Daniel Robertson_CLE","Chase d'Arnaud_SD","Cory Spangenberg_SD","Franchy Cordero_SD","Roberto Perez_CLE","Jeff Mathis_ARI","Gift Ngoepe_PIT","Christian Bethancourt_SD","Manuel Margot_SD","Jose Lobaton_WAS","Rafael Bautista_WAS","Max Moroff_PIT","Austin Hedges_SD","Allen Cordoba_SD","Michael Morse_SF","Adam Rosales_OAK","Chris Stewart_PIT","John Bormann_PIT","Tim Federowicz_SF","Jaff Decker_OAK","Erick Aybar_SD","Jabari Blash_SD","Eloy Jimenez_CHC","Chris Marrero_SF","Matt Olson_OAK","Hector Sanchez_SD","Luis Torrens_SD","Grant Green_WAS"
39,0,0,0,0,0,0,28,0,0,35,0,0,0,35,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,44,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,31,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,20,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,47,43,0,31,0,0,0,0,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,43,45,0,29,0,0,0,0,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,34,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,18,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,29,0,32,0,0,0,0,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,32,0,0,29,0,0,0,28,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,15,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
