"Paul Goldschmidt_ARI","George Springer_HOU","Jose Ramirez_CLE","Bryce Harper_WAS","Carlos Correa_HOU","Jose Altuve_HOU","Trea Turner_WAS","Jake Lamb_ARI","Daniel Murphy_WAS","JD Martinez_DET","Edwin Encarnacion_CLE","David Peralta_ARI","Ryan Zimmerman_WAS","Anthony Rizzo_CHC","Ian Kinsler_DET","Dexter Fowler_STL","AJ Pollock_ARI","Kris Bryant_CHC","Michael Brantley_CLE","Francisco Lindor_CLE","Chris Owings_ARI","Justin Upton_DET","Josh Reddick_HOU","Jedd Gyorko_STL","Paul DeJong_STL","Carlos Santana_CLE","Lonnie Chisenhall_CLE","Carlos Beltran_HOU","Tommy Pham_STL","Anthony Rendon_WAS","Evan Gattis_HOU","Alex Avila_DET","Jason Kipnis_CLE","Bradley Zimmer_CLE","Randal Grichuk_STL","Brandon Drury_ARI","Yasmany Tomas_ARI","Ben Zobrist_CHC","Ian Happ_CHC","Nicholas Castellanos_DET","Elvis Andrus_TEX","Marwin Gonzalez_HOU","Matt Carpenter_STL","Stephen Piscotty_STL","Michael Taylor_WAS","Adam Eaton_WAS","Miguel Cabrera_DET","Mike Moustakas_KC","Salvador Perez_KC","Eric Hosmer_KC","Jorge Bonifacio_KC","Brian Goodwin_WAS","Javier Baez_CHC","Addison Russell_CHC","Lorenzo Cain_KC","Brian McCann_HOU","Khris Davis_OAK","Nick Ahmed_ARI","Willson Contreras_CHC","Victor Martinez_DET","Whit Merrifield_KC","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Carlos Gomez_TEX","Alex Bregman_HOU","Yuli Gurriel_HOU","Yadier Molina_STL","Chris Iannetta_ARI","Daniel Descalso_ARI","Adam Lind_WAS","Mike Napoli_TEX","Abraham Almonte_CLE","Bobby Bradley_CLE","Gregor Blanco_ARI","Kyle Schwarber_CHC","Brandon Guyer_CLE","Delino DeShields_TEX","Joey Gallo_TEX","Greg Allen_CLE","Matt Joyce_OAK","Jed Lowrie_OAK","Yonder Alonso_OAK","Derek Fisher_HOU","Ryon Healy_OAK","Jeremy Hazelbaker_ARI","Jayson Werth_WAS","Robinson Chirinos_TEX","Nomar Mazara_TEX","Jake Marisnick_HOU","Chad Huffman_STL","Jose Martinez_STL","Chris Herrmann_ARI","Rey Fuentes_ARI","Jorge Soler_KC","Austin Jackson_CLE","Roberto Perez_CLE","Erik Gonzalez_CLE","Kolten Wong_STL","Jack Reinheimer_ARI","Socrates Brito_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Aledmys Diaz_STL","Ryan Raburn_WAS","Jason Heyward_CHC","Mikie Mahtook_DET","Jonathan Lucroy_TEX","Giovanny Urshela_CLE","Harrison Bader_STL","Andrew Romine_DET","Tyler Naquin_CLE","Francisco Mejia_CLE","Yandy Diaz_CLE","Mark Canha_OAK","Marcus Semien_OAK","JD Davis_HOU","Franklin Barreto_OAK","Matt Wieters_WAS","James McCann_DET","Rougned Odor_TEX","Ryan Rua_TEX","Andy Ibanez_TEX","Rajai Davis_OAK","Adam Rosales_OAK","Joey Wendle_OAK","Matt Chapman_OAK","Jeimer Candelario_CHC","Mark Zagunis_CHC","Paulo Orlando_KC","Billy Burns_KC","John Hicks_DET","JaCoby Jones_DET","Jurickson Profar_TEX","Norichika Aoki_HOU","Jaycob Brugman_OAK","Chad Pinder_OAK","Miguel Montero_CHC","Stephen Drew_WAS","Jon Jay_CHC","Albert Almora_CHC","Alcides Escobar_KC","Alex Gordon_KC","Dixon Machado_DET","Tyler Collins_DET","Yan Gomes_CLE","Hanser Alberto_TEX","Jake Smolinski_OAK","Ryan LaMarre_OAK","Bruce Maxwell_OAK","Magneuris Sierra_STL","Tommy La Stella_CHC","Drew Stubbs_TEX","Matt Olson_OAK","Carson Kelly_STL","Jim Adduci_DET","Alex Presley_DET","Cheslor Cuthbert_KC","Ryan O'Hearn_KC","Michael Martinez_CLE","Pete Kozma_TEX","Daniel Robertson_CLE","Brett Nicholas_TEX","Jared Hoying_TEX","Ronald Guzman_TEX","Kyle Tucker_HOU","Eric Fryer_STL","Christian Walker_ARI","Greg Garcia_STL","Chris Heisey_WAS","Wilmer Difo_WAS","Brandon Moss_KC","Jose Iglesias_DET","Terrance Gore_KC","Jeff Mathis_ARI","Pedro Severino_WAS","Drew Robinson_TEX","Juan Centeno_HOU","Josh Phegley_OAK","Renato Nunez_OAK","Tony Kemp_HOU","Luke Voit_STL","Rafael Bautista_WAS","Raul Mondesi_KC","Teoscar Hernandez_HOU","Colin Moran_HOU","Jaff Decker_OAK","Jose Lobaton_WAS","Eloy Jimenez_CHC","Drew Butera_KC","Matt den Dekker_DET","Ramon Torres_KC","Hunter Dozier_KC"
72,0,0,0,0,0,0,67,0,0,0,53,0,0,0,0,31,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,24,32,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,0,0,60,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,54,0,0,39,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,64,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,46,63,0,0,0,0,0,64,35,0,0,0,0,0,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,63,0,0,51,0,57,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
0,60,0,0,67,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,54,0,0,38,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,0,0,64,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,57,0,0,40,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,58,0,52,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
67,0,0,0,0,0,0,70,0,0,0,55,0,0,0,0,29,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,23,29,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,52,0,63,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,38,0,0,0,0,30,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
