"Charlie Blackmon_COL","Nolan Arenado_COL","Anthony Rizzo_CHC","Aaron Judge_NYY","Jose Altuve_HOU","George Springer_HOU","Freddie Freeman_ATL","Kris Bryant_CHC","Carlos Correa_HOU","Mark Reynolds_COL","Gerardo Parra_COL","Robinson Cano_SEA","Nelson Cruz_SEA","Giancarlo Stanton_MIA","Brian Dozier_MIN","Marwin Gonzalez_HOU","Justin Bour_MIA","Ian Desmond_COL","Edwin Encarnacion_CLE","Gary Sanchez_NYY","Marcell Ozuna_MIA","DJ LeMahieu_COL","David Dahl_COL","Francisco Lindor_CLE","Jose Ramirez_CLE","Ian Happ_CHC","Brett Gardner_NYY","Jean Segura_SEA","Evan Gattis_HOU","Wil Myers_SD","Michael Brantley_CLE","Bradley Zimmer_CLE","Evan Longoria_TB","Khris Davis_OAK","Steven Souza_TB","Raimel Tapia_COL","Trevor Story_COL","Willson Contreras_CHC","Kyle Schwarber_CHC","Miguel Sano_MIN","Max Kepler_MIN","Logan Morrison_TB","Odubel Herrera_PHI","Jose Pirela_SD","Ender Inciarte_ATL","Addison Russell_CHC","Clint Frazier_NYY","Kyle Seager_SEA","Yuli Gurriel_HOU","Manuel Margot_SD","Ben Zobrist_CHC","Jason Heyward_CHC","Jason Kipnis_CLE","Josh Reddick_HOU","Jarrod Dyson_SEA","Christian Yelich_MIA","Erick Aybar_SD","Cory Spangenberg_SD","Brandon Phillips_ATL","Matt Kemp_ATL","Lonnie Chisenhall_CLE","Kennys Vargas_MIN","Carlos Beltran_HOU","Jake Marisnick_HOU","Alex Bregman_HOU","Dee Gordon_MIA","Carlos Santana_CLE","Joe Mauer_MIN","Chase Headley_NYY","Robbie Grossman_MIN","Rajai Davis_OAK","Yonder Alonso_OAK","Freddy Galvis_PHI","Ryan Schimpf_SD","Hunter Renfroe_SD","Franchy Cordero_SD","Matt Adams_ATL","Johan Camargo_ATL","Brandon Belt_SF","Matt Holliday_NYY","Eduardo Escobar_MIN","Eddie Rosario_MIN","Corey Dickerson_TB","Brian McCann_HOU","Carlos Gonzalez_COL","Jabari Blash_SD","Yangervis Solarte_SD","Carlos Asuaje_SD","Pat Valaika_COL","Javier Baez_CHC","Buster Posey_SF","Jacoby Ellsbury_NYY","Aaron Hicks_NYY","Mason Williams_NYY","Byron Buxton_MIN","Miguel Andujar_NYY","Mallex Smith_TB","Ben Gamel_SEA","Derek Dietrich_MIA","Aaron Altherr_PHI","Adonis Garcia_ATL","Brandon Guyer_CLE","Didi Gregorius_NYY","Jorge Mateo_NYY","Marcus Semien_OAK","Danny Valencia_SEA","JT Realmuto_MIA","Nick Williams_PHI","Matt Szczur_SD","Jordan Patterson_COL","Nick Markakis_ATL","Danny Santana_ATL","Eduardo Nunez_SF","Brandon Crawford_SF","Starlin Castro_NYY","Daniel Palka_MIN","Greg Bird_NYY","Tyler Wade_NYY","Dustin Fowler_NYY","Matt Joyce_OAK","Martin Prado_MIA","Cesar Hernandez_PHI","Austin Hedges_SD","Kurt Suzuki_ATL","Denard Span_SF","Erik Gonzalez_CLE","Ji-Man Choi_NYY","Wilson Ramos_TB","Ryon Healy_OAK","Leonys Martin_SEA","Mike Zunino_SEA","Derek Fisher_HOU","Hector Sanchez_SD","Tony Wolters_COL","Jeimer Candelario_CHC","Jace Peterson_ATL","Mark Zagunis_CHC","Bobby Bradley_CLE","Rob Refsnyder_NYY","Mitch Haniger_SEA","Howie Kendrick_PHI","Tyler Moore_MIA","Cameron Perkins_PHI","Tyler Flowers_ATL","Jon Jay_CHC","Albert Almora_CHC","Chris Carter_NYY","Jorge Polanco_MIN","Tyler Austin_NYY","Garrett Cooper_NYY","Zack Granite_MIN","Kevin Kiermaier_TB","Maikel Franco_PHI","Roman Quinn_PHI","Rhys Hoskins_PHI","Ryan Hanigan_COL","Chase d'Arnaud_SD","Alexi Amarista_COL","Christian Bethancourt_SD","Cristhian Adames_COL","Travis Jankowski_SD","Luis Urias_SD","Victor Caratini_CHC","Nick Hundley_SF","Abraham Almonte_CLE","Joe Panik_SF","Greg Allen_CLE","Colby Rasmus_TB","Adam Rosales_OAK","Cameron Rupp_PHI","Tom Murphy_COL","Mike Tauchman_COL","Tommy La Stella_CHC","Micah Johnson_ATL","Yan Gomes_CLE","Christian Arroyo_SF","Yandy Diaz_CLE","Chris Gimenez_MIN","Jason Castro_MIN","Ehire Adrianza_MIN","Trevor Plouffe_TB","Jed Lowrie_OAK","Tim Beckham_TB","Mark Canha_OAK","Brad Miller_TB","Matt Duffy_TB","Norichika Aoki_HOU","JD Davis_HOU","Daniel Nava_PHI","Tommy Joseph_PHI","Jose Rondon_SD","Sean Rodriguez_ATL","Rio Ruiz_ATL","Dansby Swanson_ATL","Travis Demeritte_ATL","Austin Jackson_CLE","Tyler Naquin_CLE","Jarrett Parker_SF","Gleyber Torres_NYY","Joey Wendle_OAK","Shawn O'Malley_SEA","Destin Hood_MIA","JT Riddle_MIA","Andrew Knapp_PHI","Giovanny Urshela_CLE","Mac Williamson_SF","Jake Bauers_TB","Carlos Ruiz_SEA","DJ Peterson_SEA","Tyler Smith_SEA","Ichiro Suzuki_MIA","Tomas Telis_MIA","Scott Kingery_PHI","Alex Dickerson_SD","Hunter Pence_SF","Gorkys Hernandez_SF","Kelby Tomlinson_SF","Peter Bourjos_TB","Jake Smolinski_OAK","Ryan LaMarre_OAK","Bruce Maxwell_OAK","Tuffy Gosewisch_SEA","Taylor Motter_SEA","Boog Powell_SEA","Christian Colon_MIA","Steve Lombardozzi_MIA","Ty Kelly_PHI","Dustin Garneau_COL","Stephen Cardullo_COL","Allen Cordoba_SD","Luis Torrens_SD","Michael Martinez_CLE","Roberto Perez_CLE","Austin Slater_SF","Ryder Jones_SF","Francisco Mejia_CLE","Orlando Calixte_SF","Jae-gyun Hwang_SF","Ronald Torreyes_NYY","Derek Norris_TB","Guillermo Heredia_SEA","Brock Stassi_PHI","Aaron Hill_SF","Daniel Robertson_CLE","Austin Romine_NYY","Kyle Higashioka_NYY","Rickie Weeks_TB","Jesus Sucre_TB","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Kyle Tucker_HOU","AJ Ellis_MIA","Mike Aviles_MIA","Miguel Rojas_MIA","Jorge Alfaro_PHI","Anthony Recker_ATL","Conor Gillaspie_SF","Adeiny Hechavarria_TB","Curt Casali_TB","Daniel Robertson_TB","Juan Centeno_HOU","Teoscar Hernandez_HOU","Colin Moran_HOU","Tony Kemp_HOU","Emilio Bonifacio_ATL","Justin Ruggiano_SF","Shane Peterson_TB","Josh Phegley_OAK","Lane Adams_ATL","Ronald Acuna_ATL","Michael Morse_SF","Jaff Decker_OAK","Ryan Lavarnway_OAK","Jaycob Brugman_OAK","Taylor Featherston_TB","Renato Nunez_OAK","Matt Olson_OAK","Chad Pinder_OAK","Willy Adames_TB","Franklin Barreto_OAK","Matt Chapman_OAK","Andres Blanco_PHI","Chris Marrero_SF","Tim Federowicz_SF","Miguel Gomez_SF"
84,80,0,0,0,0,0,0,0,75,37,0,0,0,0,0,0,48,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,20,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,83,0,0,0,0,0,0,0,74,38,0,0,0,0,0,0,49,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,20,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,84,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,61,57,0,0,0,0,0,0,65,0,0,0,0,52,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,42,47,3,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,71,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,83,78,0,0,74,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,61,0,0,0,0,0,0,0,0,67,36,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,78,81,0,0,72,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,59,0,0,0,0,0,0,0,0,65,32,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,77,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,56,54,0,0,0,0,0,0,62,0,0,0,0,51,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,74,72,0,0,79,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,58,0,0,0,0,0,0,0,0,64,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,74,0,0,0,0,0,0,0,78,32,0,0,0,0,0,0,44,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,18,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
