"Jose Ramirez_CLE","Edwin Encarnacion_CLE","Steven Souza_TB","Michael Brantley_CLE","Francisco Lindor_CLE","Brandon Belt_SF","Bradley Zimmer_CLE","Khris Davis_OAK","Yonder Alonso_OAK","Corey Dickerson_TB","Buster Posey_SF","Jason Kipnis_CLE","Logan Morrison_TB","Mallex Smith_TB","Rajai Davis_OAK","Evan Longoria_TB","Carlos Santana_CLE","Lonnie Chisenhall_CLE","Denard Span_SF","Eduardo Nunez_SF","Joe Panik_SF","Wilson Ramos_TB","Brad Miller_TB","Hunter Pence_SF","Kevin Kiermaier_TB","Brandon Crawford_SF","Tyler Naquin_CLE","Colby Rasmus_TB","Marcus Semien_OAK","Trevor Plouffe_TB","Matt Joyce_OAK","Matt Duffy_TB","Bobby Bradley_CLE","Adam Rosales_OAK","Ryon Healy_OAK","Nick Hundley_SF","Erik Gonzalez_CLE","Jarrett Parker_SF","Christian Arroyo_SF","Greg Allen_CLE","Mark Canha_OAK","Gorkys Hernandez_SF","Brandon Guyer_CLE","Abraham Almonte_CLE","Jesus Sucre_TB","Tim Beckham_TB","Bruce Maxwell_OAK","Joey Wendle_OAK","Jake Bauers_TB","Austin Jackson_CLE","Kelby Tomlinson_SF","Mac Williamson_SF","Peter Bourjos_TB","Giovanny Urshela_CLE","Jed Lowrie_OAK","Jake Smolinski_OAK","Derek Norris_TB","Ryan LaMarre_OAK","Aaron Hill_SF","Roberto Perez_CLE","Yan Gomes_CLE","Yandy Diaz_CLE","Rickie Weeks_TB","Curt Casali_TB","Miguel Gomez_SF","Adeiny Hechavarria_TB","Daniel Robertson_TB","Justin Ruggiano_SF","Conor Gillaspie_SF","Jae-gyun Hwang_SF","Shane Peterson_TB","Franklin Barreto_OAK","Michael Morse_SF","Josh Phegley_OAK","Michael Martinez_CLE","Tim Federowicz_SF","Daniel Robertson_CLE","Austin Slater_SF","Francisco Mejia_CLE","Chad Pinder_OAK","Matt Chapman_OAK","Ryder Jones_SF","Jaff Decker_OAK","Ryan Lavarnway_OAK","Jaycob Brugman_OAK","Taylor Featherston_TB","Renato Nunez_OAK","Matt Olson_OAK","Willy Adames_TB","Chris Marrero_SF","Orlando Calixte_SF"
75,72,0,57,74,0,31,0,0,0,0,57,0,0,0,0,72,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,26,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,24,51,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,76,0,56,75,0,29,0,0,0,0,56,0,0,0,0,73,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,18,26,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,24,52,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,80,0,0,0,0,0,0,72,0,0,69,31,0,77,0,0,0,0,0,8,34,0,51,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,64,0,0,0,0,0,0,21,0,0,0,44,0,0,0,0,0,19,0,0,10,49,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
57,56,0,59,58,0,24,0,0,0,0,44,0,0,0,0,56,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,75,0,58,78,0,32,0,0,0,0,58,0,0,0,0,75,44,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,18,26,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,25,53,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,80,0,0,0,0,67,0,0,0,0,0,0,0,57,58,68,0,0,54,0,65,0,0,0,0,0,0,0,0,0,21,0,6,27,0,0,33,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,8,7,0,0,5,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,9,5
31,29,0,24,32,0,32,0,0,0,0,28,0,0,0,0,29,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,79,64,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,62,0,0,49,73,0,0,0,0,0,19,0,0,0,0,0,16,0,0,0,0,0,0,0,73,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,0,0,0,0,0,35,9,0,13,0,20,0,0,10,0,0,0
0,0,0,0,0,0,0,64,67,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,58,0,0,38,61,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,0,0,0,0,26,9,0,12,0,18,0,0,9,0,0,0
0,0,72,0,0,0,0,0,0,79,0,0,71,30,0,76,0,0,0,0,0,7,35,0,51,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,63,0,0,0,0,0,0,14,0,0,0,44,0,0,0,0,0,17,0,0,9,47,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
