"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"WR","Julio Jones",9200,"GB@ATL 08:30PM ET",10.6,"ATL","GB",0,24.2,0,0,0,0,0,0
"WR","Amari Cooper",8100,"NYJ@OAK 04:05PM ET",17.2,"OAK","NYJ",0,13.2,0,0,0,0,0,0
"WR","Odell Beckham",8000,"DET@NYG 08:30PM ET",0,"NYG","DET",0,17,0,0,0,0,0,0
"WR","Jordy Nelson",7900,"GB@ATL 08:30PM ET",20.9,"GB","ATL",0,16.7,0,0,0,0,0,0
"RB","Ezekiel Elliott",7800,"DAL@DEN 04:25PM ET",22,"DAL","DEN",0,21,0,0,0,0,0,0
"QB","Matt Ryan",7500,"GB@ATL 08:30PM ET",20.94,"ATL","GB",0,23,0,0,0,0,0,0
"QB","Aaron Rodgers",7400,"GB@ATL 08:30PM ET",20.54,"GB","ATL",0,22.2,0,0,0,0,0,0
"RB","Devonta Freeman",7300,"GB@ATL 08:30PM ET",11.9,"ATL","GB",0,13.6,0,0,0,0,0,0
"QB","Derek Carr",7200,"NYJ@OAK 04:05PM ET",18.68,"OAK","NYJ",0,18.6,0,0,0,0,0,0
"WR","Michael Crabtree",7100,"NYJ@OAK 04:05PM ET",14.3,"OAK","NYJ",0,13.1,0,0,0,0,0,0
"RB","Melvin Gordon",7000,"MIA@LAC 04:05PM ET",18.9,"LAC","MIA",0,19.3,0,0,0,0,0,0
"RB","Todd Gurley II",6800,"WAS@LAR 04:25PM ET",20.6,"LAR","WAS",0,16,0,0,0,0,0,0
"QB","Russell Wilson",6800,"SF@SEA 04:25PM ET",9.32,"SEA","SF",0,19.8,0,0,0,0,0,0
"WR","Golden Tate",6800,"DET@NYG 08:30PM ET",24.4,"DET","NYG",0,12.9,0,0,0,0,0,0
"WR","Doug Baldwin",6700,"SF@SEA 04:25PM ET",10,"SEA","SF",0,13.2,0,0,0,0,0,0
"WR","Dez Bryant",6600,"DAL@DEN 04:25PM ET",6.3,"DAL","DEN",0,13.6,0,0,0,0,0,0
"RB","Jay Ajayi",6400,"MIA@LAC 04:05PM ET",0,"MIA","LAC",0,15.3,0,0,0,0,0,0
"QB","Kirk Cousins",6100,"WAS@LAR 04:25PM ET",13.6,"WAS","LAR",0,18.7,0,0,0,0,0,0
"RB","Marshawn Lynch",6000,"NYJ@OAK 04:05PM ET",10.2,"OAK","NYJ",0,15.6,0,0,0,0,0,0
