"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Actual","Projection_reg_split","Projection_reg","FreqInd"
"RB","David Johnson (7852233)","David Johnson",7852233,9500,"Was@Ari 04:25PM ET","Ari","David","Johnson","Was",27.58,23.3,2,0.181236673773987,0,25.1208717706163,24.3608846020044,1
"RB","Le'Veon Bell (7852224)","Le'Veon Bell",7852224,9200,"NYG@Pit 04:25PM ET","Pit","Le'Veon","Bell","NYG",26.19,27.9,2,0.163218390804598,0,26.9630677030885,26.1869008230188,1
"WR","Antonio Brown (7852363)","Antonio Brown",7852363,9100,"NYG@Pit 04:25PM ET","Pit","Antonio","Brown","NYG",25.86,24.3,1,0.291954022988506,0,24.8747085877924,24.1389717206172,1
"WR","Julio Jones (7852259)","Julio Jones",7852259,8700,"KC@Atl 01:00PM ET","Atl","Julio","Jones","KC",21.64,21.4,1,0.272727272727273,0,21.3890073242008,20.7632800552597,1
"WR","Mike Evans (7852390)","Mike Evans",7852390,8600,"TB@SD 04:25PM ET","TB","Mike","Evans","SD",22.09,23.3,1,0.318396226415094,0,22.6169986200019,21.9645311889529,1
"WR","Odell Beckham Jr. (7852366)","Odell Beckham Jr.",7852366,8500,"NYG@Pit 04:25PM ET","NYG","Odell","Beckham","Pit",21.49,21,1,0.27122641509434,0,21.1052784807156,20.4862630292833,0
"RB","LeSean McCoy (7852212)","LeSean McCoy",7852212,7800,"Buf@Oak 04:05PM ET","Buf","LeSean","McCoy","Oak",17.9,17.8,4,0.109034267912773,0,17.7454191663555,17.2269055724381,1
"QB","Drew Brees (7852075)","Drew Brees",7852075,7600,"Det@NO 01:00PM ET","NO","Drew","Brees","Det",28.55,20.8,0,0,0,24.2175369969755,23.4621409647691,1
"QB","Tom Brady (7852080)","Tom Brady",7852080,7500,"LA@NE 01:00PM ET","NE","Tom","Brady","LA",26.24,20.4,0,0,0,22.9486777335765,22.2422963664445,1
"WR","A.J. Green (7852315)","A.J. Green",7852315,7500,"Phi@Cin 01:00PM ET","Cin","A.J.","Green","Phi",0,0,1,0.258373205741627,0,0,0,1
"QB","Ben Roethlisberger (7852118)","Ben Roethlisberger",7852118,7400,"NYG@Pit 04:25PM ET","Pit","Ben","Roethlisberger","NYG",26.09,20.1,0,0,0,22.7187781422835,22.01816506272,1
"WR","Amari Cooper (7852357)","Amari Cooper",7852357,7300,"Buf@Oak 04:05PM ET","Oak","Amari","Cooper","Buf",18.54,17.1,1,0.247747747747748,0,17.6605048957991,17.1360618344072,1
"RB","Melvin Gordon (7852242)","Melvin Gordon",7852242,7200,"TB@SD 04:25PM ET","SD","Melvin","Gordon","TB",21.13,20.7,5,0.123456790123457,0,20.7796023208199,20.1704679338027,1
"WR","Larry Fitzgerald (7852371)","Larry Fitzgerald",7852371,7100,"Was@Ari 04:25PM ET","Ari","Larry","Fitzgerald","Was",18.08,18.3,1,0.247334754797441,0,18.0966596289761,17.5699031480603,1
"QB","Matthew Stafford (7852078)","Matthew Stafford",7852078,7000,"Det@NO 01:00PM ET","Det","Matthew","Stafford","NO",25.72,20.6,0,0,0,22.8191752109446,22.1210908027906,1
"WR","Jordy Nelson (7852302)","Jordy Nelson",7852302,7000,"Hou@GB 01:00PM ET","GB","Jordy","Nelson","Hou",18.9,16.9,1,0.238297872340426,0,17.7170347947336,17.1874283186279,1
"WR","Michael Thomas (7852276)","Michael Thomas",7852276,6900,"Det@NO 01:00PM ET","NO","Michael","Thomas","Det",19.26,14.8,1,0.191304347826087,0,16.7508089020157,16.2339660800614,1
"RB","Jordan Howard (7852208)","Jordan Howard",7852208,6900,"SF@Chi 01:00PM ET","Chi","Jordan","Howard","SF",17.26,20.4,5,0.0970873786407767,0,18.8530892285642,18.3225780332564,1
"QB","Matt Ryan (7852070)","Matt Ryan",7852070,6800,"KC@Atl 01:00PM ET","Atl","Matt","Ryan","KC",20.69,20.2,0,0,0,20.3097813446911,19.7139818541016,1
"WR","Julian Edelman (7852280)","Julian Edelman",7852280,6800,"LA@NE 01:00PM ET","NE","Julian","Edelman","LA",15.76,16.4,1,0.263291139240506,0,16.0158007937125,15.5524077734917,1
"QB","Aaron Rodgers (7852091)","Aaron Rodgers",7852091,6700,"Hou@GB 01:00PM ET","GB","Aaron","Rodgers","Hou",24.32,20.1,0,0,0,21.9115184926319,21.2455702464903,1
"RB","Jay Ajayi (7852194)","Jay Ajayi",7852194,6700,"Mia@Bal 01:00PM ET","Mia","Jay","Ajayi","Bal",14.82,12.2,4,0.072289156626506,0,13.3262580374169,12.9209028472392,1
"WR","Doug Baldwin (7852395)","Doug Baldwin",7852395,6700,"Car@Sea 08:30PM ET","Sea","Doug","Baldwin","Car",16.68,15.3,1,0.251428571428571,0,15.8432716058575,15.372239535461,1
"WR","Demaryius Thomas (7852292)","Demaryius Thomas",7852292,6600,"Den@Jax 01:00PM ET","Den","Demaryius","Thomas","Jax",14.94,14.8,2,0.274151436031332,0,14.780548062188,14.3483109353651,1
"QB","Cam Newton (7852135)","Cam Newton",7852135,6600,"Car@Sea 08:30PM ET","Car","Cam","Newton","Sea",19.04,18.6,0,0,0,18.6959831277367,18.1475947914154,1
"TE","Rob Gronkowski (7852421)","Rob Gronkowski",7852421,6500,"LA@NE 01:00PM ET","NE","Rob","Gronkowski","LA",0,0,4,0.10379746835443,0,0,0,1
"QB","Derek Carr (7852114)","Derek Carr",7852114,6500,"Buf@Oak 04:05PM ET","Oak","Derek","Carr","Buf",19.73,17.6,0,0,0,18.4723850455091,17.9199185989514,1
"QB","Philip Rivers (7852129)","Philip Rivers",7852129,6500,"TB@SD 04:25PM ET","SD","Philip","Rivers","TB",18.84,19,0,0,0,18.820084356884,18.2718388311317,1
"RB","Spencer Ware (7852141)","Spencer Ware",7852141,6400,"KC@Atl 01:00PM ET","KC","Spencer","Ware","Atl",14.64,15,6,0.0763546798029557,0,14.75138289714,14.3231341059318,1
"WR","Brandin Cooks (7852274)","Brandin Cooks",7852274,6400,"Det@NO 01:00PM ET","NO","Brandin","Cooks","Det",18.68,14.4,2,0.167391304347826,0,16.270966132344,15.7692565281083,1
"QB","Kirk Cousins (7852126)","Kirk Cousins",7852126,6400,"Was@Ari 04:25PM ET","Was","Kirk","Cousins","Ari",19.03,18,0,0,0,18.3684468256023,17.825915515439,1
"TE","Jordan Reed (7852478)","Jordan Reed",7852478,6400,"Was@Ari 04:25PM ET","Was","Jordan","Reed","Ari",0,0,1,0.183628318584071,0,0,0,1
"WR","Davante Adams (7852308)","Davante Adams",7852308,6300,"Hou@GB 01:00PM ET","GB","Davante","Adams","Hou",14.57,11.9,2,0.193617021276596,0,13.0507505563132,12.653122118869,1
"QB","Russell Wilson (7852136)","Russell Wilson",7852136,6300,"Car@Sea 08:30PM ET","Sea","Russell","Wilson","Car",19.56,20.3,11,0.00571428571428571,0,19.848241442021,19.2736290778566,1
"WR","Golden Tate (7852270)","Golden Tate",7852270,6200,"Det@NO 01:00PM ET","Det","Golden","Tate","NO",15.76,14.3,1,0.223880597014925,0,14.8853864976756,14.4418076062005,1
"QB","Jameis Winston (7852132)","Jameis Winston",7852132,6200,"TB@SD 04:25PM ET","TB","Jameis","Winston","SD",18.41,19.8,0,0,0,19.0546044482353,18.5072320831707,1
"WR","Kelvin Benjamin (7852402)","Kelvin Benjamin",7852402,6200,"Car@Sea 08:30PM ET","Car","Kelvin","Benjamin","Sea",13.78,11.6,2,0.2175,0,12.5289604702309,12.1496344974117,1
"RB","Devonta Freeman (7852143)","Devonta Freeman",7852143,6100,"KC@Atl 01:00PM ET","Atl","Devonta","Freeman","KC",15,15.1,3,0.114285714285714,0,14.9694005526512,14.5331577569085,1
"QB","Colin Kaepernick (7852106)","Colin Kaepernick",7852106,6100,"SF@Chi 01:00PM ET","SF","Colin","Kaepernick","Chi",19.73,19.9,0,0,0,19.7104578459305,19.1362902107465,1
