"Kris Bryant_CHC","Anthony Rizzo_CHC","Francisco Lindor_CLE","Edwin Encarnacion_CLE","Jose Ramirez_CLE","Ben Zobrist_CHC","Michael Brantley_CLE","Carlos Santana_CLE","Khris Davis_OAK","Jed Lowrie_OAK","Yonder Alonso_OAK","Jason Kipnis_CLE","Ian Happ_CHC","Kyle Schwarber_CHC","Hunter Renfroe_SD","Javier Baez_CHC","Wil Myers_SD","Marcus Semien_OAK","Ryon Healy_OAK","Willson Contreras_CHC","Matt Joyce_OAK","Bradley Zimmer_CLE","Rajai Davis_OAK","Stephen Vogt_OAK","Jason Heyward_CHC","Ryan Schimpf_SD","Lonnie Chisenhall_CLE","Abraham Almonte_CLE","Mark Canha_OAK","Addison Russell_CHC","Brandon Guyer_CLE","Trevor Plouffe_OAK","Austin Jackson_CLE","Josh Phegley_OAK","Miguel Montero_CHC","Manuel Margot_SD","Jake Smolinski_OAK","Yan Gomes_CLE","Ryan LaMarre_OAK","Chad Pinder_OAK","Jon Jay_CHC","Alex Dickerson_SD","Jeimer Candelario_CHC","Tyler Naquin_CLE","Giovanny Urshela_CLE","Erik Gonzalez_CLE","Bruce Maxwell_OAK","Albert Almora_CHC","Yangervis Solarte_SD","Tommy La Stella_CHC","Yandy Diaz_CLE","Matt Szczur_SD","Travis Jankowski_SD","Chase d'Arnaud_SD","Cory Spangenberg_SD","Christian Bethancourt_SD","Roberto Perez_CLE","Allen Cordoba_SD","Adam Rosales_OAK","Jaff Decker_OAK","Daniel Robertson_CLE","Matt Olson_OAK","Jabari Blash_SD","Franchy Cordero_SD","Eloy Jimenez_CHC","Erick Aybar_SD","Hector Sanchez_SD","Austin Hedges_SD","Luis Torrens_SD"
79.9238900634249,9.97286821705426,0,0,0,16.1693548387097,0,0,0,0,0,0,0,15.7174603174603,0,10.9516129032258,0,0,0,12.9747126436782,0,0,0,0,9.88859180035651,0,0,0,0,21.0587044534413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.97286821705426,67.3550724637681,0,0,0,8.08238636363636,0,0,0,0,0,0,0,7.26173541963016,0,-1.43276515151515,0,0,0,24.9979838709677,0,0,0,0,24.7433155080214,0,0,0,0,7.29615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70.9280177187154,-1.05481727574751,5.59487179487179,0,7.86806722689076,5.36046511627907,0,0,0,20.737684729064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.05481727574751,52.2848837209302,9.98414634146341,0,5.78412698412698,0.790697674418605,0,0,0,-3.95172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9076354679803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.59487179487179,9.98414634146341,81.5524390243902,0,15.927807486631,26.7713414634146,0,0,0,7.85960591133005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.26923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.1693548387097,8.08238636363636,0,0,0,42.7462121212121,0,0,0,0,0,0,0,-1.14162561576355,0,0.511904761904762,0,0,0,1.21936758893281,0,0,0,0,15.88,0,0,0,0,13.7645502645503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.86806722689076,5.78412698412698,15.927807486631,0,42.3706349206349,7.82460317460317,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5.36046511627907,0.790697674418605,26.7713414634146,0,7.82460317460317,40.0845665961945,0,0,0,17.8344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.23399014778325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,59.1018826135105,5.6,1.26512096774194,0,0,0,0,0,0,0,3.01025641025641,0,2.98387096774194,0,0.0854700854700855,5.57010582010582,0,0,0,0,0,0,0,7.7325746799431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.01960784313725,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.6,50.9778516057586,0.42741935483871,0,0,0,0,0,0,0,9.78846153846154,0,-1.98674242424242,0,22.1615384615385,-2.36091954022989,0,0,0,0,0,0,0,10.1692745376956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94474153297683,0,0,0,0,0,0,0,0,0,0
