"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20"
"Troy Tulowitzki_TOR",NA,0,NA,0,0,27,5,2,NA,16,2,6,7,3,10,NA,6,5,NA
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2,2,0,2,0,NA,NA
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA
"David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0,0,21,10,0,NA
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14,16,0,NA,NA,2,NA,12,12
"Devon Travis_TOR",NA,6,NA,5,NA,4,0,0,NA,4,0,0,5,NA,NA,NA,4,0,NA
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0,7,NA,NA,0,5,NA
"Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4,2,20,NA,4,0,20,4,2,0,0
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23,0,NA,38,3,27,3,14,13,0,0,5,NA
"Kendrys Morales_TOR",NA,4,NA,3,20,11,3,7,NA,11,0,4,5,16,0,NA,7,2,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0,3,NA
"Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4,NA,8,NA,2,5,8,NA,9,3,NA,2,NA
"Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0,0,5,NA,0,7,3,NA,4,3,3
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6,4,0,NA,3
"Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JT Realmuto_MIA",NA,10,NA,23,NA,NA,20,3,NA,5,2,NA,9,NA,6,0,3,5,NA
"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2,12,NA,2,0,0,5,0,2,7
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11,3,14,18,NA,3,4,9,18
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12,15,8,NA,8,8,24,3,7,27,2
"Russell Martin_TOR",NA,4,NA,2,4,NA,6,0,NA,0,5,2,10,NA,5,NA,18,2,NA
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martin Prado_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA
"Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10,19,7,NA,5,0,0,7,0,NA,0
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12,3,0,0,NA,NA,NA,10,19
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA,NA,NA,NA,NA,NA
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA,14,NA,0,2,NA,NA,0,NA,0,NA
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19,0,5,NA,0,17,3,0,6,0,0
"Danny Valencia_SEA",NA,NA,8,0,2,3,5,2,2,3,NA,NA,2,8,10,2,0,NA,9
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2,2,10,8,NA
"Steve Pearce_TOR",NA,11,NA,0,0,NA,0,NA,NA,4,3,NA,0,NA,3,NA,7,NA,NA
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,10,0,0,NA,NA,NA
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
"Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"Justin Bour_MIA",NA,0,NA,2,NA,9,4,0,NA,7,NA,9,3,14,2,0,19,3,NA
"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5,NA,5,0,NA,NA
"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4,NA,17,21,NA,3,20,2,17,0,2,23
"Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3,8,0,0,NA,NA,5,12,10,NA,4,4
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA,2,7,3,2,0,NA,0,17,2,NA
"Kevin Pillar_TOR",NA,7,NA,3,3,6,3,0,NA,0,3,5,8,3,21,NA,17,19,NA
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14,NA,NA,0,NA,NA
"Andrew Toles_LAD",NA,8,NA,2,NA,NA,14,NA,NA,NA,17,NA,21,NA,0,NA,NA,NA,NA
"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Dietrich_MIA",NA,0,NA,4,NA,21,2,10,NA,2,NA,7,2,0,0,NA,8,NA,NA
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA,20,2,21,0,3,0,3,3,12,NA
"Rob Segedin_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0,3,NA,NA,9,NA,0,0,10,3,NA
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,11,7
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9,7,9,NA,13,2,NA,13,0,7,12
"Andre Ethier_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7,NA,3,NA,0,5,NA,0,NA,11,9
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4,21,NA
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Smoak_TOR",NA,NA,NA,10,3,9,3,0,NA,0,NA,NA,19,0,NA,NA,21,0,NA
"Rowdy Tellez_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Pompey_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,14,NA
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Destin Hood_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA,2,2,NA,10
"Jarrod Saltalamacchia_TOR",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Ezequiel Carrera_TOR",NA,10,NA,NA,NA,3,NA,0,NA,NA,NA,0,NA,3,6,NA,NA,5,NA
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA,NA,7,NA,NA,NA,NA,16,NA,14,NA,10
"Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hedges_SD",NA,0,0,2,NA,NA,2,2,NA,0,3,NA,5,19,NA,23,0,0,19
"Tyler Moore_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"Ichiro Suzuki_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,17,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,24,NA,0,NA,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA,10,NA,NA,NA,NA,0,4,NA,0,NA,NA,NA
"Adeiny Hechavarria_MIA",NA,0,NA,3,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick Aybar_SD",NA,NA,15,2,NA,NA,NA,3,0,3,2,NA,4,0,2,NA,2,14,9
"Bruce Maxwell_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Ahmed_ARI",NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,3,23,NA,NA,NA,0,10
"AJ Ellis_MIA",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,9,NA,0,NA,NA,3,NA,NA
"Luis Sardinas_SD",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"Allen Cordoba_SD",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,0,0
"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA,12,NA,4,NA,NA,NA,NA,0,NA,0,NA,NA
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA,0,0,NA,NA
"Martin Maldonado_LAA",NA,NA,9,5,NA,8,3,NA,NA,2,0,NA,5,2,NA,6,10,0,NA
"Juan Graterol_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darwin Barney_TOR",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,3,5,NA,NA,NA,3,9,NA
"JT Riddle_MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,2,NA,NA
"Jabari Blash_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3,2,NA,0,19,3,9
"Carlos Perez_LAA",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA,4,NA,5,NA,5,NA,0,NA,0,NA,NA,0,NA,0,NA
"Hector Sanchez_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Ryan Goins_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,10,NA,NA,NA,NA
"Ty Kelly_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miguel Rojas_MIA",NA,NA,NA,NA,NA,NA,15,5,NA,NA,0,9,15,9,7,0,NA,0,NA
"Chad Pinder_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0
"Mike Freeman_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Cliff Pennington_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"Brett Eibner_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaff Decker_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,7
"Chris Coghlan_TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"Luis Torrens_SD",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
