"Miguel Sano_MIN","Brian Dozier_MIN","Kris Bryant_CHC","Anthony Rizzo_CHC","Michael Brantley_CLE","Francisco Lindor_CLE","Edwin Encarnacion_CLE","Carlos Santana_CLE","Kennys Vargas_MIN","Billy Hamilton_CIN","Matt Carpenter_STL","Joey Votto_CIN","Jason Kipnis_CLE","Max Kepler_MIN","Jose Ramirez_CLE","Buster Posey_SF","Robbie Grossman_MIN","Eddie Rosario_MIN","Jedd Gyorko_STL","Joe Mauer_MIN","Byron Buxton_MIN","Kolten Wong_STL","Stephen Piscotty_STL","Kyle Schwarber_CHC","Aledmys Diaz_STL","Jorge Polanco_MIN","Dexter Fowler_STL","Javier Baez_CHC","Brandon Belt_SF","Adam Duvall_CIN","Ben Zobrist_CHC","Denard Span_SF","Eugenio Suarez_CIN","Zack Cozart_CIN","Tommy Pham_STL","Randal Grichuk_STL","Eduardo Nunez_SF","Lonnie Chisenhall_CLE","Eduardo Escobar_MIN","Jason Heyward_CHC","Jeimer Candelario_CHC","Hunter Pence_SF","Christian Arroyo_SF","Bradley Zimmer_CLE","Yadier Molina_STL","Addison Russell_CHC","Magneuris Sierra_STL","Chris Gimenez_MIN","Brandon Guyer_CLE","Abraham Almonte_CLE","Jason Castro_MIN","Miguel Montero_CHC","Jon Jay_CHC","Brandon Crawford_SF","Austin Jackson_CLE","Yan Gomes_CLE","Willson Contreras_CHC","Joe Panik_SF","Jose Peraza_CIN","Albert Almora_CHC","Jarrett Parker_SF","Scott Schebler_CIN","Tyler Naquin_CLE","Giovanny Urshela_CLE","Jhonny Peralta_STL","Scooter Gennett_CIN","Phillip Ervin_CIN","Ehire Adrianza_MIN","Jose Martinez_STL","Matt Adams_STL","Nick Hundley_SF","Mac Williamson_SF","Yandy Diaz_CLE","Greg Garcia_STL","Ian Happ_CHC","Aaron Hill_SF","Arismendy Alcantara_CIN","Kelby Tomlinson_SF","Roberto Perez_CLE","Tommy La Stella_CHC","Harrison Bader_STL","Carson Kelly_STL","Gorkys Hernandez_SF","Conor Gillaspie_SF","Jesse Winker_CIN","Michael Martinez_CLE","Justin Ruggiano_SF","Drew Stubbs_SF","Michael Morse_SF","Eric Fryer_STL","Devin Mesoraco_CIN","Tim Federowicz_SF","Tucker Barnhart_CIN","Eloy Jimenez_CHC","Chris Marrero_SF","Patrick Kivlehan_CIN","Stuart Turner_CIN"
26,24,0,0,0,0,0,0,8,0,0,0,0,21,0,0,19,25,0,21,22,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,7,0,0,0,0,20,0,0,17,24,0,20,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,24,0,0,0,0,0,27,0,0,0,0,0,9,13,0,0,0,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,24,0,0,0,0,0,27,0,0,0,0,0,8,12,0,0,0,22,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22,22,22,22,0,0,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,6,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22,30,30,30,0,0,0,0,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,11,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22,30,30,30,0,0,0,0,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,11,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22,30,30,30,0,0,0,0,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,11,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,9,0,0,0,0,5,0,0,3,9,0,6,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,2,4
0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,21,0,0,23,18,0,23,0,21,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,31,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,0,0,3,4
0,0,0,0,12,16,16,16,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,0,0,0,0,0,0,5,0,0,0,0,22,0,0,15,21,0,20,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21,28,28,28,0,0,0,0,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,27,0,0,0,0,24,13,0,0,0,0,0,0,0,0,0,0,15,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,2,0,0,0,0,17,4,0,0,2,3,4,0,0,0,0,0,6,0,0
