"Bryce Harper_WAS","Charlie Blackmon_COL","Mike Trout_LAA","Nolan Arenado_COL","Daniel Murphy_WAS","Anthony Rendon_WAS","Mark Reynolds_COL","DJ LeMahieu_COL","Ian Desmond_COL","Gerardo Parra_COL","Jose Ramirez_CLE","Trea Turner_WAS","Logan Morrison_TB","Evan Longoria_TB","Steven Souza_TB","Edwin Encarnacion_CLE","Ryan Zimmerman_WAS","Trevor Story_COL","David Dahl_COL","Francisco Lindor_CLE","Wil Myers_SD","Raimel Tapia_COL","Michael Brantley_CLE","Brandon Belt_SF","Bradley Zimmer_CLE","Khris Davis_OAK","Yonder Alonso_OAK","Corey Dickerson_TB","Michael Taylor_WAS","Andrelton Simmons_LAA","Jose Pirela_SD","Jason Kipnis_CLE","Mallex Smith_TB","Brian Goodwin_WAS","Adam Eaton_WAS","Pat Valaika_COL","Buster Posey_SF","Ryan Schimpf_SD","Cory Spangenberg_SD","Manuel Margot_SD","Rajai Davis_OAK","Adam Lind_WAS","Cameron Maybin_LAA","Erick Aybar_SD","Stephen Cardullo_COL","Carlos Asuaje_SD","Carlos Santana_CLE","Brandon Crawford_SF","Matt Joyce_OAK","Marcus Semien_OAK","Albert Pujols_LAA","Jayson Werth_WAS","Stephen Drew_WAS","Yunel Escobar_LAA","Carlos Gonzalez_COL","Yangervis Solarte_SD","Hunter Renfroe_SD","Denard Span_SF","Lonnie Chisenhall_CLE","Ryan Raburn_WAS","Wilmer Difo_WAS","Jabari Blash_SD","Austin Hedges_SD","Eduardo Nunez_SF","Jefry Marte_LAA","Hector Sanchez_SD","Franchy Cordero_SD","Jordan Patterson_COL","Wilson Ramos_TB","Kevin Kiermaier_TB","Brandon Guyer_CLE","Tyler Naquin_CLE","Joe Panik_SF","Colby Rasmus_TB","Brad Miller_TB","Ryon Healy_OAK","Nick Franklin_LAA","Matt Szczur_SD","Trevor Plouffe_TB","Tim Beckham_TB","Matt Duffy_TB","Luis Valbuena_LAA","Matt Wieters_WAS","Ben Revere_LAA","Nick Hundley_SF","Abraham Almonte_CLE","Bobby Bradley_CLE","Adam Rosales_OAK","Jed Lowrie_OAK","Eric Young_LAA","Danny Espinosa_LAA","Adrian Sanchez_WAS","Kole Calhoun_LAA","CJ Cron_LAA","Chase d'Arnaud_SD","Dustin Garneau_COL","Alex Dickerson_SD","Tom Murphy_COL","Erik Gonzalez_CLE","Jarrett Parker_SF","Christian Arroyo_SF","Greg Allen_CLE","Mark Canha_OAK","Alexi Amarista_COL","Cristhian Adames_COL","Travis Jankowski_SD","Allen Cordoba_SD","Mike Tauchman_COL","Gorkys Hernandez_SF","Bruce Maxwell_OAK","Joey Wendle_OAK","Jake Bauers_TB","Martin Maldonado_LAA","Luis Urias_SD","Hunter Pence_SF","Austin Jackson_CLE","Kelby Tomlinson_SF","Mac Williamson_SF","Peter Bourjos_TB","Jesus Sucre_TB","Tony Wolters_COL","Giovanny Urshela_CLE","Jake Smolinski_OAK","Derek Norris_TB","Ryan LaMarre_OAK","Jose Lobaton_WAS","Shane Robinson_LAA","David Fletcher_LAA","Ryan Hanigan_COL","Christian Bethancourt_SD","Luis Torrens_SD","Yan Gomes_CLE","Yandy Diaz_CLE","Rickie Weeks_TB","Curt Casali_TB","Chris Heisey_WAS","Kaleb Cowart_LAA","Nolan Fontana_LAA","Jose Rondon_SD","Aaron Hill_SF","Roberto Perez_CLE","Adeiny Hechavarria_TB","Daniel Robertson_TB","Pedro Severino_WAS","Conor Gillaspie_SF","Shane Peterson_TB","Cliff Pennington_LAA","Juan Graterol_LAA","Carlos Perez_LAA","Rafael Bautista_WAS","Justin Ruggiano_SF","Miguel Gomez_SF","Josh Phegley_OAK","Franklin Barreto_OAK","Michael Morse_SF","Michael Martinez_CLE","Daniel Robertson_CLE","Jae-gyun Hwang_SF","Chad Pinder_OAK","Tim Federowicz_SF","Francisco Mejia_CLE","Jaff Decker_OAK","Ryan Lavarnway_OAK","Jaycob Brugman_OAK","Taylor Featherston_TB","Renato Nunez_OAK","Matt Olson_OAK","Willy Adames_TB","Matt Chapman_OAK","Chris Marrero_SF","Austin Slater_SF","Ryder Jones_SF","Orlando Calixte_SF"
72,0,0,0,65,66,0,0,0,0,0,52,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,24,18,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,36,14,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,83,0,80,0,0,74,76,48,36,0,0,0,0,0,0,0,64,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,39,0,0,31,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,34,0,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,0,83,0,0,74,76,49,38,0,0,0,0,0,0,0,63,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,72,66,0,0,0,0,0,54,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,24,18,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,40,12,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,66,73,0,0,0,0,0,54,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,25,16,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74,0,74,0,0,77,70,44,31,0,0,0,0,0,0,0,60,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,76,0,76,0,0,70,79,49,36,0,0,0,0,0,0,0,60,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48,0,49,0,0,44,49,51,14,0,0,0,0,0,0,0,35,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,0,38,0,0,31,36,14,38,0,0,0,0,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,73,0,0,0,75,0,0,58,0,32,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,52,13,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
