"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","FreqInd","ValueWR","Ownership.Pctg.Pred"
"RB","David Johnson (7852233)","David Johnson",7852233,9500,"Was@Ari 04:25PM ET","Ari","David","Johnson","Was",27.58,23.3,38.5,24.3608846020044,25.1208717706163,2,0.181236673773987,1,0,20.6733993169914
"RB","Le'Veon Bell (7852224)","Le'Veon Bell",7852224,9200,"NYG@Pit 04:25PM ET","Pit","Le'Veon","Bell","NYG",26.19,28,26.2,26.2397865452708,27.0168969552807,2,0.163218390804598,1,0,19.744111744644
"WR","Antonio Brown (7852363)","Antonio Brown",7852363,9100,"NYG@Pit 04:25PM ET","Pit","Antonio","Brown","NYG",25.86,24.3,17.4,24.1389717206172,24.8747085877924,1,0.291954022988506,1,0,15.2292516438357
"WR","Julio Jones (7852259)","Julio Jones",7852259,8700,"KC@Atl 01:00PM ET","Atl","Julio","Jones","KC",21.64,21.4,21.3,20.7632800552597,21.3890073242008,1,0.272727272727273,1,0,24.6919685200426
"WR","Mike Evans (7852390)","Mike Evans",7852390,8600,"TB@SD 04:25PM ET","TB","Mike","Evans","SD",22.09,23.301,8.8,21.9645311889529,22.6169986200019,1,0.318396226415094,1,0,16.6029596495937
"WR","Odell Beckham Jr. (7852366)","Odell Beckham",7852366,8500,"NYG@Pit 04:25PM ET","NYG","Odell","Beckham","Pit",21.49,21,23,20.4862630292833,21.1052784807156,1,0.27122641509434,1,0,NA
"RB","LeSean McCoy (7852212)","LeSean McCoy",7852212,7800,"Buf@Oak 04:05PM ET","Buf","LeSean","McCoy","Oak",17.9,17.9,29.1,17.2797912946901,17.7992484185477,4,0.109034267912773,1,0,17.7880229733986
"QB","Drew Brees (7852075)","Drew Brees",7852075,7600,"Det@NO 01:00PM ET","NO","Drew","Brees","Det",28.55,20.8,13,23.4621409647691,24.2175369969755,0,0,1,0,NA
"QB","Tom Brady (7852080)","Tom Brady",7852080,7500,"LA@NE 01:00PM ET","NE","Tom","Brady","LA",26.24,20.5,14.9,22.2951820886965,23.0025069857687,0,0,1,0,NA
"WR","A.J. Green (7852315)","A.J. Green",7852315,7500,"Phi@Cin 01:00PM ET","Cin","A.J.","Green","Phi",0,0,0,0,0,1,0.258373205741627,1,0,NA
"QB","Ben Roethlisberger (7852118)","Ben Roethlisberger",7852118,7400,"NYG@Pit 04:25PM ET","Pit","Ben","Roethlisberger","NYG",26.09,20.2,18.6,22.071050784972,22.7726073944758,0,0,1,0,NA
"WR","Amari Cooper (7852357)","Amari Cooper",7852357,7300,"Buf@Oak 04:05PM ET","Oak","Amari","Cooper","Buf",18.54,17.1,13.9,17.1360618344072,17.6605048957991,1,0.247747747747748,1,0,5.71041167573418
"RB","Melvin Gordon (7852242)","Melvin Gordon",7852242,7200,"TB@SD 04:25PM ET","SD","Melvin","Gordon","TB",21.13,20.7,23.8,20.1704679338027,20.7796023208199,5,0.123456790123457,1,0,14.1314498570219
"WR","Larry Fitzgerald (7852371)","Larry Fitzgerald",7852371,7100,"Was@Ari 04:25PM ET","Ari","Larry","Fitzgerald","Was",18.08,18.3,17.8,17.5699031480603,18.0966596289761,1,0.247334754797441,1,0,6.66982465404106
"QB","Matthew Stafford (7852078)","Matthew Stafford",7852078,7000,"Det@NO 01:00PM ET","Det","Matthew","Stafford","NO",25.72,20.7,26.8,22.1739765250425,22.8730044631369,0,0,1,0,NA
"WR","Jordy Nelson (7852302)","Jordy Nelson",7852302,7000,"Hou@GB 01:00PM ET","GB","Jordy","Nelson","Hou",18.9,16.9,28.8,17.1874283186279,17.7170347947336,1,0.238297872340426,1,0,4.97833813578178
