Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Antonio Brown,1,,WR,9300,PIT,NE,19.8,NE by 7.5,2%,-12%,-2%,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.0,6.0,8.0,10.7,11.3,0.7,7.6,19,17.9,21.0,21.0,10.0,32.1,20.0,2.2,0.0,0.0
Julio Jones,23,,WR,9200,ATL,SD,29.5,ATL by 6,13%,-21%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.3,10.6,0.5,13.1,18,28.6,21.6,21.6,3.7,39.5,25.3,2.8,0.0,0.0
Odell Beckham Jr.,5,Q,WR,8900,NYG,@LA,23.3,NYG by 3,-2%,10%,24%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.2,9.6,1.0,9.5,16,22.0,19.4,19.4,5.9,32.8,19.1,2.1,0.0,0.0
A.J. Green,19,,WR,8600,CIN,CLE,28.0,CIN by 10.5,12%,12%,8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.3,9.2,1.3,9.8,16,20.0,20.1,20.1,6.0,34.2,21.7,2.5,0.0,0.0
Le'Veon Bell,7,,RB,8000,PIT,NE,19.8,NE by 7.5,2%,-12%,-10%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,15.1,0.7,5.5,8.0,8.0,6.1,0.3,7.4,35,23.0,23.0,23.0,19.3,26.7,20.8,2.6,0.0,0.0
Tom Brady,12,,QB,7900,NE,@PIT,27.3,NE by 7.5,13%,-4%,-1%,37.5,37.5,39.7,5.5,10.4,2.0,2.0,2.2,0.5,4.0,0.0,0.0,0.0,0.0,0.0,67,31.4,31.4,31.4,29.7,33.1,22.1,2.8,0.0,0.0
Amari Cooper,10,,WR,7900,OAK,@JAX,22.8,JAX by 1.5,-11%,-2%,-2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.3,10.0,8.7,0.8,9.8,15,22.2,18.9,18.9,9.7,28.2,16.0,2.0,0.0,0.0
Jordy Nelson,4,,WR,7800,GB,CHI,27.0,GB by 7.5,-7%,3%,9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.4,8.2,2.2,6.6,16,18.6,17.8,17.8,10.0,25.7,16.2,2.1,0.0,0.0
Mike Evans,12,,WR,7800,TB,@SF,23.8,TB by 1,-15%,66%,-3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.5,1.4,7.5,16,21.3,20.8,20.8,13.2,28.4,17.8,2.3,0.0,0.0
T.Y. Hilton,7,Q,WR,7700,IND,@TEN,22.3,TEN by 3,-3%,-16%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.0,10.7,8.4,1.3,8.7,15,20.4,19.6,19.6,7.0,32.2,16.3,2.1,0.0,0.0
Brandon Marshall,10,,WR,7600,NYJ,BAL,21.5,NYJ by 2.5,-10%,-34%,18%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,8.1,1.7,7.2,14,19.1,14.7,14.7,5.8,23.7,14.5,1.9,0.0,0.0
LeSean McCoy,6,Q,RB,7600,BUF,@MIA,23.0,BUF by 2.5,-4%,40%,-5%,0.0,0.0,0.0,0.0,0.0,18.7,17.3,0.0,2.7,5.6,3.7,4.0,0.0,0.2,4.0,0,26.9,23.4,23.4,14.6,32.2,0.0,0.0,0.0,0.0
