Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Le'Veon Bell,,,RB,10400,PIT,CLE,25.0,PIT by 6,1%,36%,21%,0.0,0.1,0.0,0.0,0.0,27.0,21.8,21.6,2.5,4.9,5.7,7.8,6.1,0.7,6.6,44,34.9,28.0,28.0,17.2,38.9,31.0,3.0,0.0,0.0
David Johnson,,,RB,9800,ARI,@LA,23.5,ARI by 6,-5%,-4%,-2%,0.0,0.0,0.0,0.0,0.0,20.0,19.2,20.3,3.5,4.3,6.7,7.7,7.2,0.9,7.3,43,26.5,27.9,27.9,19.6,36.1,24.9,2.5,0.0,0.0
Odell Beckham Jr.,,,WR,9000,NYG,@WAS,18.0,WAS by 8,9%,7%,2%,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,9.0,12.3,10.8,9.4,1.3,8.2,15,22.6,20.0,20.0,10.4,29.6,19.6,2.2,0.0,0.0
LeSean McCoy,,,RB,8900,BUF,@NYJ,23.0,BUF by 4,1%,-8%,2%,0.0,0.0,0.0,0.0,0.0,18.3,16.4,18.2,2.7,5.5,5.3,4.1,3.8,0.5,6.1,37,28.7,22.7,22.7,12.6,32.8,16.9,1.9,0.0,0.0
Antonio Brown,,,WR,8700,PIT,CLE,25.0,PIT by 6,1%,36%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,3.0,9.0,10.3,9.7,1.0,8.3,16,15.7,21.3,21.3,11.7,30.9,22.2,2.6,0.0,0.0
Julio Jones,,,WR,8400,ATL,NO,31.5,ATL by 7,11%,-9%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,9.2,8.9,0.5,10.9,14,12.9,19.9,19.9,6.1,33.6,21.9,2.6,0.0,0.0
Jordy Nelson,,,WR,8100,GB,@DET,25.8,GB by 3.5,0%,-5%,2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.7,9.0,1.9,8.2,15,28.0,20.5,20.5,10.8,30.3,18.2,2.2,0.0,0.0
Mike Evans,,,WR,8000,TB,CAR,26.3,TB by 6,13%,-17%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.7,11.4,1.1,7.8,19,13.6,19.9,19.9,9.6,30.2,21.6,2.7,0.0,0.0
Aaron Rodgers,,,QB,7700,GB,@DET,25.8,GB by 3.5,0%,-5%,9%,30.7,38.1,36.9,6.8,7.2,2.7,3.8,4.2,0.8,5.7,0.0,0.0,0.0,0.0,0.0,68,24.5,24.8,24.8,16.9,32.7,20.1,2.6,0.0,0.0
Melvin Gordon,,Q,RB,7700,SD,KC,19.8,KC by 5.5,0%,11%,-3%,0.0,0.0,0.0,0.0,0.0,12.3,19.5,19.9,3.8,3.9,3.7,4.4,3.8,0.6,7.4,38,12.4,20.1,20.1,9.8,30.4,18.2,2.4,0.0,0.0
T.Y. Hilton,,,WR,7600,IND,JAX,25.8,IND by 4.5,-14%,-2%,-10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,9.7,9.5,7.8,0.9,9.5,13,18.8,18.4,18.4,7.7,29.1,16.4,2.2,0.0,0.0
