"Paul Goldschmidt_ARI","Nolan Arenado_COL","AJ Pollock_ARI","Charlie Blackmon_COL","Jake Lamb_ARI","Carlos Gonzalez_COL","Ian Desmond_COL","Mookie Betts_BOS","Trevor Story_COL","Yasmany Tomas_ARI","David Peralta_ARI","DJ LeMahieu_COL","Hanley Ramirez_BOS","David Dahl_COL","Chris Owings_ARI","Brandon Drury_ARI","Edwin Encarnacion_CLE","Brian Dozier_MIN","Xander Bogaerts_BOS","Michael Brantley_CLE","Francisco Lindor_CLE","Mark Reynolds_COL","Carlos Santana_CLE","Jackie Bradley_BOS","Miguel Sano_MIN","Jason Kipnis_CLE","Jose Ramirez_CLE","Dustin Pedroia_BOS","Gerardo Parra_COL","Socrates Brito_ARI","Lorenzo Cain_KC","Eric Hosmer_KC","Max Kepler_MIN","Andrew Benintendi_BOS","Joe Mauer_MIN","Alex Gordon_KC","Pablo Sandoval_BOS","Robbie Grossman_MIN","Kennys Vargas_MIN","Chris Herrmann_ARI","Stephen Cardullo_COL","Raimel Tapia_COL","Mike Moustakas_KC","Jorge Soler_KC","Mitch Moreland_BOS","Eddie Rosario_MIN","Byron Buxton_MIN","Dustin Garneau_COL","Salvador Perez_KC","Whit Merrifield_KC","Chris Iannetta_ARI","Tom Murphy_COL","Brock Holt_BOS","Jorge Polanco_MIN","Daniel Descalso_ARI","Brandon Moss_KC","Alcides Escobar_KC","Cheslor Cuthbert_KC","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Pat Valaika_COL","Lonnie Chisenhall_CLE","Brandon Guyer_CLE","Abraham Almonte_CLE","Billy Burns_KC","Bradley Zimmer_CLE","Chris Young_BOS","Tony Wolters_COL","Tyler Naquin_CLE","Jorge Bonifacio_KC","Austin Jackson_CLE","Yan Gomes_CLE","Peter O'Brien_KC","Sandy Leon_BOS","Chase d'Arnaud_BOS","Danny Santana_MIN","Steve Selsky_BOS","Marco Hernandez_BOS","Jeff Mathis_ARI","Giovanny Urshela_CLE","Ryan O'Hearn_KC","Jason Castro_MIN","Ryan Hanigan_COL","Cristhian Adames_COL","Terrance Gore_KC","Yandy Diaz_CLE","Chris Gimenez_MIN","Christian Vazquez_BOS","Eduardo Escobar_MIN","Deven Marrero_BOS","Josh Rutledge_BOS","Alexi Amarista_COL","Paulo Orlando_KC","Christian Colon_KC","Roberto Perez_CLE","Raul Mondesi_KC","Ehire Adrianza_MIN","Michael Martinez_CLE","Drew Butera_KC"
54.4556650246305,0,29.9116666666667,0,15.7138461538462,0,0,0,0,5.3030303030303,21.3571428571429,0,0,0,6.30434782608696,21.536231884058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1071428571429,0,0,0,0,0,0,0,0,0,0,-23.0636363636364,0,0,0,12.6363636363636,0,0,0,-0.166666666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.75641025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58.8717948717949,0,4.7991452991453,0,-3.54333333333333,56.3333333333333,0,4.92391304347826,0,0,-6.61333333333333,0,0,0,0,0,0,0,0,0,4.55253623188406,0,0,0,0,0,0,2.47076023391813,0,0,0,0,0,0,0,0,0,0,0,14.05,0,0,0,0,0,0,-2.32727272727273,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,-3.34285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
29.9116666666667,0,65.3046153846154,0,-2.39130434782609,0,0,0,0,-13.047619047619,10.3366013071895,0,0,0,-4.7554347826087,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,-13.9583333333333,0,0,0,18.1785714285714,0,0,0,0,16.1727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.7991452991453,0,57.8917378917379,0,20.0016666666667,88,0,3.33333333333333,0,0,3.67833333333333,0,0,0,0,0,0,0,0,0,13.7934782608696,0,0,0,0,0,0,20.7046783625731,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,14.8454545454545,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.6666666666667,0,0,0,0,0,0,0
15.7138461538462,0,-2.39130434782609,0,50.1794871794872,0,0,0,0,-3.11315789473684,19.8714285714286,0,0,0,-35.4978354978355,10.5367965367965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3194444444444,0,0,0,0,0,0,0,0,0,0,-7.25,0,0,0,-35.4285714285714,0,0,0,6,-13.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3.54333333333333,0,20.0016666666667,0,20.5766666666667,5.33333333333333,0,7.22510822510823,0,0,3.27272727272727,0,0,0,0,0,0,0,0,0,2.20779220779221,0,0,0,0,0,0,9.14338235294118,0,0,0,0,0,0,0,0,0,0,0,-7.66666666666667,0,0,0,0,0,0,-1.47222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33333333333333,0,0,0,0,0,0,0
0,56.3333333333333,0,88,0,5.33333333333333,171.333333333333,0,-14,0,0,58,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0
0,0,0,0,0,0,0,59.4822134387352,0,0,0,0,9.89285714285714,0,0,0,0,0,7.89473684210526,0,0,0,0,-13.4015151515152,0,0,0,4.23391812865497,0,0,0,0,0,26.8008658008658,0,0,18.8653846153846,0,0,0,0,0,0,0,20.1739130434783,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.8,0,0,0,0,0,0,1.52272727272727,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,1.79090909090909,0,0,-9,0,0,0,0,0,0,0,0
0,4.92391304347826,0,3.33333333333333,0,7.22510822510823,-14,0,39.036231884058,0,0,3.58874458874459,0,0,0,0,0,0,0,0,0,15.9134199134199,0,0,0,0,0,0,5.17279411764706,0,0,0,0,0,0,0,0,0,0,0,-10.25,0,0,0,0,0,0,-1.46666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,4.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3030303030303,0,-13.047619047619,0,-3.11315789473684,0,0,0,0,80.0830039525692,32.1666666666667,0,0,0,24.1883116883117,18.4526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.8333333333333,0,0,0,0,0,0,0,0,0,0,6.32142857142857,0,0,0,17.4,0,0,0,0,-9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
