"Kris Bryant_CHC","Anthony Rizzo_CHC","Francisco Lindor_CLE","Edwin Encarnacion_CLE","Jose Ramirez_CLE","Ben Zobrist_CHC","Michael Brantley_CLE","Carlos Santana_CLE","Khris Davis_OAK","Jed Lowrie_OAK","Yonder Alonso_OAK","Jason Kipnis_CLE","Ian Happ_CHC","Kyle Schwarber_CHC","Hunter Renfroe_SD","Javier Baez_CHC","Wil Myers_SD","Marcus Semien_OAK","Ryon Healy_OAK","Willson Contreras_CHC","Matt Joyce_OAK","Bradley Zimmer_CLE","Rajai Davis_OAK","Stephen Vogt_OAK","Jason Heyward_CHC","Ryan Schimpf_SD","Lonnie Chisenhall_CLE","Abraham Almonte_CLE","Mark Canha_OAK","Addison Russell_CHC","Brandon Guyer_CLE","Trevor Plouffe_OAK","Austin Jackson_CLE","Josh Phegley_OAK","Miguel Montero_CHC","Manuel Margot_SD","Jake Smolinski_OAK","Yan Gomes_CLE","Ryan LaMarre_OAK","Chad Pinder_OAK","Jon Jay_CHC","Alex Dickerson_SD","Jeimer Candelario_CHC","Tyler Naquin_CLE","Giovanny Urshela_CLE","Erik Gonzalez_CLE","Bruce Maxwell_OAK","Albert Almora_CHC","Yangervis Solarte_SD","Tommy La Stella_CHC","Yandy Diaz_CLE","Matt Szczur_SD","Travis Jankowski_SD","Chase d'Arnaud_SD","Cory Spangenberg_SD","Christian Bethancourt_SD","Roberto Perez_CLE","Allen Cordoba_SD","Adam Rosales_OAK","Jaff Decker_OAK","Daniel Robertson_CLE","Matt Olson_OAK","Jabari Blash_SD","Franchy Cordero_SD","Eloy Jimenez_CHC","Erick Aybar_SD","Hector Sanchez_SD","Austin Hedges_SD","Luis Torrens_SD"
44,43,0,0,0,32,0,0,0,0,0,0,11,36,0,31,0,0,0,30,0,0,0,0,34,0,0,0,0,39,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,46,0,0,0,33,0,0,0,0,0,0,13,38,0,33,0,0,0,32,0,0,0,0,34,0,0,0,0,40,0,0,0,0,14,0,0,0,0,0,16,0,3,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,43,43,40,0,35,43,0,0,0,29,0,0,0,0,0,0,0,0,0,7,0,0,0,0,23,22,0,0,15,0,13,0,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0
0,0,43,44,41,0,36,44,0,0,0,30,0,0,0,0,0,0,0,0,0,7,0,0,0,0,23,22,0,0,15,0,14,0,0,0,0,29,0,0,0,0,0,2,0,2,0,0,0,0,15,0,0,0,0,0,15,0,0,0,12,0,0,0,0,0,0,0,0
0,0,40,41,41,0,34,41,0,0,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,22,22,0,0,14,0,13,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0
32,33,0,0,0,33,0,0,0,0,0,0,7,29,0,21,0,0,0,23,0,0,0,0,26,0,0,0,0,28,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,36,34,0,36,36,0,0,0,26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,15,0,0,9,0,9,0,0,0,0,25,0,0,0,0,0,2,0,2,0,0,0,0,9,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0
0,0,43,44,41,0,36,44,0,0,0,30,0,0,0,0,0,0,0,0,0,7,0,0,0,0,23,22,0,0,15,0,14,0,0,0,0,29,0,0,0,0,0,2,0,2,0,0,0,0,15,0,0,0,0,0,15,0,0,0,12,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,43,41,32,0,0,0,0,0,0,9,40,0,32,0,27,28,0,0,0,0,13,0,0,38,0,13,0,0,0,0,2,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,41,43,32,0,0,0,0,0,0,9,40,0,33,0,26,30,0,0,0,0,14,0,0,38,0,11,0,0,0,0,2,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,32,32,34,0,0,0,0,0,0,6,31,0,30,0,19,27,0,0,0,0,7,0,0,29,0,5,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,0,0,0
0,0,29,30,29,0,26,30,0,0,0,30,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,15,0,0,7,0,6,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0
11,13,0,0,0,7,0,0,0,0,0,0,13,9,0,9,0,0,0,8,0,0,0,0,7,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,38,0,0,0,29,0,0,0,0,0,0,9,39,0,26,0,0,0,26,0,0,0,0,30,0,0,0,0,32,0,0,0,0,13,0,0,0,0,0,15,0,3,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,46,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,9,13,4,20,0,0,17,0,0,0,0,6,2,0,38,2,39,7
