"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"RB","David Johnson",10000,"ARI@IND 01:00PM ET",14.1,"ARI","IND",0,0,0,0,0,0,0,0
"RB","Le'Veon Bell",9800,"MIN@PIT 01:00PM ET",7.7,"PIT","MIN",0,21.7,0,0,0,0,0,0
"WR","Antonio Brown",9400,"MIN@PIT 01:00PM ET",32.2,"PIT","MIN",0,20.3,0,0,0,0,0,0
"RB","LeSean McCoy",8600,"BUF@CAR 01:00PM ET",23.9,"BUF","CAR",0,16.3,0,0,0,0,0,0
"WR","Brandin Cooks",8200,"NE@NO 01:00PM ET",11.8,"NE","NO",0,20.1,0,0,0,0,0,0
"QB","Tom Brady",7900,"NE@NO 01:00PM ET",10.68,"NE","NO",0,24.8,0,0,0,0,0,0
"QB","Drew Brees",7700,"NE@NO 01:00PM ET",15.64,"NO","NE",0,19.7,0,0,0,0,0,0
"WR","Mike Evans",7700,"CHI@TB 01:00PM ET",0,"TB","CHI",0,19.5,0,0,0,0,0,0
"WR","Michael Thomas",7500,"NE@NO 01:00PM ET",9.5,"NO","NE",0,16.3,0,0,0,0,0,0
"TE","Rob Gronkowski",6900,"NE@NO 01:00PM ET",5.3,"NE","NO",0,12.9,0,0,0,0,0,0
"RB","Kareem Hunt",6800,"PHI@KC 01:00PM ET",49.6,"KC","PHI",0,15.2,0,0,0,0,0,0
"QB","Ben Roethlisberger",6700,"MIN@PIT 01:00PM ET",16.72,"PIT","MIN",0,18.2,0,0,0,0,0,0
"QB","Cam Newton",6500,"BUF@CAR 01:00PM ET",14.14,"CAR","BUF",0,22.3,0,0,0,0,0,0
"WR","Larry Fitzgerald",6500,"ARI@IND 01:00PM ET",13.4,"ARI","IND",0,14.3,0,0,0,0,0,0
"RB","Leonard Fournette",6500,"TEN@JAX 01:00PM ET",24.4,"JAX","TEN",0,15.6,0,0,0,0,0,0
"QB","Marcus Mariota",6400,"TEN@JAX 01:00PM ET",18.84,"TEN","JAX",0,16.3,0,0,0,0,0,0
"RB","DeMarco Murray",6300,"TEN@JAX 01:00PM ET",8,"TEN","JAX",0,13.3,0,0,0,0,0,0
"QB","Jameis Winston",6300,"CHI@TB 01:00PM ET",0,"TB","CHI",0,18.1,0,0,0,0,0,0
"WR","Tyreek Hill",6200,"PHI@KC 01:00PM ET",29.8,"KC","PHI",0,18.3,0,0,0,0,0,0
"WR","Stefon Diggs",6100,"MIN@PIT 01:00PM ET",27.7,"MIN","PIT",0,11.3,0,0,0,0,0,0
"QB","Carson Palmer",6000,"ARI@IND 01:00PM ET",11.96,"ARI","IND",0,18.9,0,0,0,0,0,0
"QB","Andrew Luck",5900,"ARI@IND 01:00PM ET",0,"IND","ARI",0,0,0,0,0,0,0,0
"QB","Carson Wentz",5900,"PHI@KC 01:00PM ET",23.88,"PHI","KC",0,15,0,0,0,0,0,0
"RB","Dalvin Cook",5900,"MIN@PIT 01:00PM ET",19.7,"MIN","PIT",0,13.5,0,0,0,0,0,0
"RB","Jordan Howard",5900,"CHI@TB 01:00PM ET",15.6,"CHI","TB",0,16.6,0,0,0,0,0,0
"QB","Jimmy Garoppolo",5800,"NE@NO 01:00PM ET",0,"NE","NO",0,0,0,0,0,0,0,0
"QB","Alex Smith",5700,"PHI@KC 01:00PM ET",34.02,"KC","PHI",0,17.9,0,0,0,0,0,0
"WR","Alshon Jeffery",5700,"PHI@KC 01:00PM ET",8.8,"PHI","KC",0,16.3,0,0,0,0,0,0
"RB","Mike Gillislee",5700,"NE@NO 01:00PM ET",22.5,"NE","NO",0,9.7,0,0,0,0,0,0
"WR","Kelvin Benjamin",5600,"BUF@CAR 01:00PM ET",3.5,"CAR","BUF",0,17.2,0,0,0,0,0,0
"RB","Christian McCaffrey",5600,"BUF@CAR 01:00PM ET",12.5,"CAR","BUF",0,12.5,0,0,0,0,0,0
"WR","Chris Hogan",5600,"NE@NO 01:00PM ET",3.5,"NE","NO",0,11.8,0,0,0,0,0,0
"QB","Derek Anderson",5500,"BUF@CAR 01:00PM ET",0,"CAR","BUF",0,0,0,0,0,0,0,0
"TE","Greg Olsen",5500,"BUF@CAR 01:00PM ET",3.8,"CAR","BUF",0,10,0,0,0,0,0,0
"RB","Derrick Henry",5500,"TEN@JAX 01:00PM ET",2.5,"TEN","JAX",0,7.3,0,0,0,0,0,0
"QB","Sam Bradford",5500,"MIN@PIT 01:00PM ET",28.54,"MIN","PIT",0,14.8,0,0,0,0,0,0
"WR","Martavis Bryant",5500,"MIN@PIT 01:00PM ET",3.4,"PIT","MIN",0,11,0,0,0,0,0,0
"QB","Tyrod Taylor",5300,"BUF@CAR 01:00PM ET",19.76,"BUF","CAR",0,16,0,0,0,0,0,0
"WR","TY Hilton",5300,"ARI@IND 01:00PM ET",7.7,"IND","ARI",0,15.2,0,0,0,0,0,0
"TE","Zach Ertz",5300,"PHI@KC 01:00PM ET",17.3,"PHI","KC",0,8.1,0,0,0,0,0,0
"QB","Joe Flacco",5200,"CLE@BAL 01:00PM ET",7.84,"BAL","CLE",0,17.1,0,0,0,0,0,0
"RB","Terrance West",5100,"CLE@BAL 01:00PM ET",14,"BAL","CLE",0,11.7,0,0,0,0,0,0
"QB","DeShone Kizer",5100,"CLE@BAL 01:00PM ET",19.58,"CLE","BAL",0,14.6,0,0,0,0,0,0
"TE","Travis Kelce",5100,"PHI@KC 01:00PM ET",9.4,"KC","PHI",0,9.9,0,0,0,0,0,0
"WR","Danny Amendola",5100,"NE@NO 01:00PM ET",19,"NE","NO",0,11.5,0,0,0,0,0,0
"WR","Jeremy Maclin",5000,"CLE@BAL 01:00PM ET",13.6,"BAL","CLE",0,13.2,0,0,0,0,0,1
"WR","John Brown",5000,"ARI@IND 01:00PM ET",8.2,"ARI","IND",0,11.3,0,0,0,0,0,1
"WR","Adam Thielen",5000,"MIN@PIT 01:00PM ET",27.7,"MIN","PIT",0,13.5,0,0,0,0,0,1
"RB","Isaiah Crowell",4900,"CLE@BAL 01:00PM ET",10.6,"CLE","BAL",0,11.9,0,0,0,0,0,0
"RB","Mark Ingram",4900,"NE@NO 01:00PM ET",12.1,"NO","NE",0,10.3,0,0,0,0,0,0
"WR","DeSean Jackson",4900,"CHI@TB 01:00PM ET",0,"TB","CHI",0,13.4,0,0,0,0,0,1
"RB","Kerwynn Williams",4800,"ARI@IND 01:00PM ET",8.2,"ARI","IND",0,10.6,0,0,0,0,0,0
"WR","Allen Robinson",4800,"TEN@JAX 01:00PM ET",2.7,"JAX","TEN",0,0,0,0,0,0,0,1
"WR","Ted Ginn",4800,"NE@NO 01:00PM ET",9.8,"NO","NE",0,10.9,0,0,0,0,0,1
"WR","Corey Coleman",4700,"CLE@BAL 01:00PM ET",16.3,"CLE","BAL",0,10.5,0,0,0,0,0,1
"TE","Delanie Walker",4700,"TEN@JAX 01:00PM ET",14.6,"TEN","JAX",0,10.7,0,0,0,0,0,0
"QB","Patrick Mahomes II",4700,"PHI@KC 01:00PM ET",0,"KC","PHI",0,0,0,0,0,0,0,0
"RB","Adrian Peterson",4700,"NE@NO 01:00PM ET",1.8,"NO","NE",0,5.4,0,0,0,0,0,0
"WR","Rishard Matthews",4600,"TEN@JAX 01:00PM ET",12.1,"TEN","JAX",0,10.4,0,0,0,0,0,1
"QB","Chase Daniel",4600,"NE@NO 01:00PM ET",0,"NO","NE",0,0,0,0,0,0,0,0
"QB","Mike Glennon",4600,"CHI@TB 01:00PM ET",12.52,"CHI","TB",0,13.7,0,0,0,0,0,0
"RB","Danny Woodhead",4500,"CLE@BAL 01:00PM ET",6.7,"BAL","CLE",0,0,0,0,0,0,0,0
"QB","Jacoby Brissett",4500,"ARI@IND 01:00PM ET",2.04,"IND","ARI",0,0,0,0,0,0,0,0
"WR","Willie Snead",4500,"NE@NO 01:00PM ET",0,"NO","NE",0,0,0,0,0,0,0,1
"QB","Case Keenum",4500,"MIN@PIT 01:00PM ET",0,"MIN","PIT",0,0,0,0,0,0,0,0
"QB","Landry Jones",4500,"MIN@PIT 01:00PM ET",0,"PIT","MIN",0,0,0,0,0,0,0,0
"RB","James Conner",4500,"MIN@PIT 01:00PM ET",1.1,"PIT","MIN",0,2.3,0,0,0,0,0,0
"QB","Mitchell Trubisky",4500,"CHI@TB 01:00PM ET",0,"CHI","TB",0,0,0,0,0,0,0,0
"RB","Jonathan Stewart",4400,"BUF@CAR 01:00PM ET",16.2,"CAR","BUF",0,8.9,0,0,0,0,0,0
"WR","Eric Decker",4400,"TEN@JAX 01:00PM ET",4,"TEN","JAX",0,10.1,0,0,0,0,0,1
"QB","Blake Bortles",4400,"TEN@JAX 01:00PM ET",10.3,"JAX","TEN",0,16.2,0,0,0,0,0,0
"RB","LeGarrette Blount",4400,"PHI@KC 01:00PM ET",11.7,"PHI","KC",0,9.7,0,0,0,0,0,0
"WR","Nelson Agholor",4400,"PHI@KC 01:00PM ET",20.6,"PHI","KC",0,7.3,0,0,0,0,0,1
"QB","Ryan Fitzpatrick",4400,"CHI@TB 01:00PM ET",0,"TB","CHI",0,0,0,0,0,0,0,0
"RB","Jacquizz Rodgers",4400,"CHI@TB 01:00PM ET",0,"TB","CHI",0,8.6,0,0,0,0,0,0
"QB","Scott Tolzien",4300,"ARI@IND 01:00PM ET",3.32,"IND","ARI",0,13.4,0,0,0,0,0,0
"QB","Blaine Gabbert",4300,"ARI@IND 01:00PM ET",0,"ARI","IND",0,0,0,0,0,0,0,0
"QB","Matt Cassel",4300,"TEN@JAX 01:00PM ET",0,"TEN","JAX",0,0,0,0,0,0,0,0
"QB","Chad Henne",4300,"TEN@JAX 01:00PM ET",0,"JAX","TEN",0,0,0,0,0,0,0,0
"QB","Nick Foles",4300,"PHI@KC 01:00PM ET",0,"PHI","KC",0,0,0,0,0,0,0,0
"RB","Doug Martin",4300,"CHI@TB 01:00PM ET",0,"TB","CHI",0,0,0,0,0,0,0,0
"QB","Cody Kessler",4200,"CLE@BAL 01:00PM ET",0,"CLE","BAL",0,0,0,0,0,0,0,0
"TE","Kyle Rudolph",4200,"MIN@PIT 01:00PM ET",11.6,"MIN","PIT",0,11.2,0,0,0,0,0,0
"RB","Javorius Allen",4100,"CLE@BAL 01:00PM ET",7.1,"BAL","CLE",0,9.5,0,0,0,0,0,0
"WR","Corey Davis",4100,"TEN@JAX 01:00PM ET",12.9,"TEN","JAX",0,7.7,0,0,0,0,0,1
"RB","Latavius Murray",4100,"MIN@PIT 01:00PM ET",0.6,"MIN","PIT",0,2.9,0,0,0,0,0,0
